obs,tic,gvkey,conm_x,CrossVerified_ExecType,DirectorName,Ethnicity,Race(black),BE_fromBermissData,Actual_Bermiss_discrepancy,Minority,Gender,Female,Num_Black_TMT,Active2020,CEO_Appointment_date_within_2020,DirectorName_source
72,KEY,9783,KEYCORP,TMT,Jeffrey Weaver,Caucasian/White,0,1,1,0,M,0,2,Yes,,Bermiss
73,KEY,9783,KEYCORP,TMT,Paul Harris,African American/Black,1,1,0,1,M,0,1,Yes,,Bermiss
74,KIM,24731,KIMCO REALTY CORP,TMT,Milton Cooper,Caucasian/White,0,,0,0,M,0,0,Yes,,BoardEx
75,KMI,6310,KINDER MORGAN INC,TMT,Rich Kinder,Caucasian/White,0,,0,0,M,0,0,Yes,,BoardEx
76,LHX,5492,L3HARRIS TECHNOLOGIES INC,TMT,Chris Kubasik,Caucasian/White,0,,0,0,M,0,0,Yes,,BoardEx
77,LH,14960,LABORATORY CP OF AMER HLDGS,TMT,Dave King,Caucasian/White,0,,0,0,M,0,0,No,,BoardEx
78,LEN,6669,LENNAR CORP,TMT,Stuart Miller,Caucasian/White,0,,0,0,M,0,0,Yes,,BoardEx
79,LKQ,155394,LKQ CORP,TMT,Joe Holsten,Caucasian/White,0,,0,0,M,0,0,Yes,,BoardEx
80,LMT,6774,LOCKHEED MARTIN CORP,TMT,Linda Gooden,African American/Black,1,1,0,1,F,1,1,No,,Bermiss
81,L,6781,LOEWS CORP,TMT,Andrew Tisch,Caucasian/White,0,,0,0,M,0,0,Yes,,BoardEx
82,L,6781,LOEWS CORP,TMT,Galen Weston Jr,Caucasian/White,0,,0,0,M,0,0,Yes,,BoardEx
83,L,6781,LOEWS CORP,TMT,Jon Tisch,Caucasian/White,0,,0,0,M,0,0,Yes,,BoardEx
84,MAR,28930,MARRIOTT INTL INC,TMT,Bill Marriott Jr,Caucasian/White,0,,0,0,M,0,0,Yes,,BoardEx
85,MTCH,26061,MATCH GROUP INC,TMT,Barry Diller,Caucasian/White,0,,0,0,M,0,0,Yes,,BoardEx
86,MTCH,26061,MATCH GROUP INC,TMT,Victor Kaufman,Caucasian/White,0,,0,0,M,0,0,Yes,,BoardEx
87,MCD,7154,MCDONALD'S CORP,TMT,Raymond Mines,African American/Black,1,1,0,1,M,0,2,No,,Bermiss
88,MRK,7257,MERCK & CO,TMT,Bridgette Heller,African American/Black,1,1,0,1,F,1,3,No,,Bermiss
89,MRK,7257,MERCK & CO,TMT,Willie Deese,African American/Black,1,1,0,1,M,0,3,No,,Bermiss
90,MRK,7257,MERCK & CO INC (Schering-Plough Corp prior to 11/2009),TMT,Mirian Graddick,African American/Black,1,1,0,1,F,1,1,No,,manually added
91,MU,7343,MICRON TECHNOLOGY INC,TMT,K Hsu,Asian/Chinese,0,,0,1,M,0,0,Yes,,BoardEx
92,MDLZ,142953,MONDELEZ INTERNATIONAL INC,TMT,Mary Beth West,Caucasian/White,0,1,1,0,F,1,1,No,,Bermiss
93,MNST,24316,MONSTER BEVERAGE CORP,TMT,Hilton Schlosberg,Caucasian/White,0,,0,0,M,0,0,Yes,,BoardEx
94,NLSN,100873,NIELSEN HOLDINGS PLC,TMT,Jamere Jackson,African American/Black,1,1,0,1,M,0,1,Yes,,Bermiss
95,NI,7974,NISOURCE INC,TMT,Donald Brown,African American/Black,1,1,0,1,M,0,1,Yes,,Bermiss
96,NTRS,7982,NORTHERN TRUST CORP,TMT,Shundrawn Thomas,African American/Black,1,1,0,1,M,0,1,Yes,,Bermiss
97,NLOK,15855,NORTONLIFELOCK INC,TMT,Scott Taylor,Caucasian/White,0,1,1,0,M,0,2,Yes,,Bermiss
98,ORLY,28180,O'REILLY AUTOMOTIVE INC,TMT,David O'Reilly,Caucasian/White,0,,0,0,M,0,0,Yes,,BoardEx
99,ORLY,28180,O'REILLY AUTOMOTIVE INC,TMT,Greg Henslee,Caucasian/White,0,,0,0,M,0,0,Yes,,BoardEx
100,ODFL,24617,OLD DOMINION FREIGHT,TMT,David Congdon,Caucasian/White,0,,0,0,M,0,0,Yes,,BoardEx
101,ODFL,24617,OLD DOMINION FREIGHT,TMT,Earl Congdon Jr,Caucasian/White,0,,0,0,M,0,0,Yes,,BoardEx
102,ORCL,12142,ORACLE CORP,TMT,Charles Phillips,African American/Black,1,,0,0,M,0,1,No,,Bermiss
103,ORCL,12142,ORACLE CORP,TMT,Jeff Henley,Caucasian/White,0,1,1,0,M,0,1,Yes,,BoardEx
104,ORCL,12142,ORACLE CORP,TMT,Larry Ellison,Caucasian/White,0,1,1,0,M,0,1,Yes,,BoardEx
105,PCAR,8253,PACCAR INC,TMT,Mark Pigott,Caucasian/White,0,,0,0,M,0,0,Yes,,BoardEx
106,PFE,8530,PFIZER INC,TMT,Freda Lewis-Hall,African American/Black,1,1,0,1,F,1,1,No,,Bermiss
107,PG,8762,PROCTER & GAMBLE CO,TMT,John Begeman,Caucasian/White,0,,0,0,M,0,0,Yes,,BoardEx
108,RL,64891,RALPH LAUREN CORP,TMT,David Lauren,Caucasian/White,0,1,1,0,M,0,1,Yes,,BoardEx
109,RL,64891,RALPH LAUREN CORP,TMT,Ralph Lauren,Caucasian/White,0,1,1,0,M,0,1,Yes,,BoardEx
110,RHI,2312,ROBERT HALF INTL INC,TMT,Harold Messmer Jr,Caucasian/White,0,,0,0,M,0,0,Yes,,BoardEx
111,ROL,9225,ROLLINS INC,TMT,Richard Rollins Sr,Caucasian/White,0,,0,0,M,0,0,Yes,,BoardEx
112,CRM,,"SALESFORCE, INC.",TMT,Robin Washington,African American/Black,1,,0,1,F,1,1,Yes,,manually added
113,SCHW,13988,SCHWAB (CHARLES) CORP,TMT,Chuck Schwab Jr,Caucasian/White,0,,0,0,M,0,0,Yes,,BoardEx
114,SPG,29389,SIMON PROPERTY GROUP INC,TMT,Richard Sokolov,Caucasian/White,0,,0,0,M,0,0,Yes,,BoardEx
115,AOS,9771,SMITH (A.O.),TMT,Ajita Rajendra,Asian/South Asian,0,,0,1,M,0,0,No,,BoardEx
116,SJM,9777,SMUCKER (JM) CO,TMT,Richard Smucker,Caucasian/White,0,,0,0,M,0,0,Yes,,BoardEx
117,TGT,3813,TARGET CORP,TMT,Laysha Ward,African American/Black,1,1,0,1,F,1,1,Yes,,Bermiss
118,TDY,126721,TELEDYNE TECHNOLOGIES INC,TMT,Professor Doctor Robert Mehrabian,Caucasian/White,0,,0,0,M,0,0,Yes,,BoardEx
119,TMO,10530,THERMO FISHER SCIENTIFIC INC,TMT,Delete Delete,Caucasian/White,0,,0,0,M,0,0,No,,BoardEx
120,TJX,11672,TJX COS INC (THE),TMT,Carol Meyrowitz,Caucasian/White,0,,0,0,F,1,0,Yes,,BoardEx
121,TDG,148349,TRANSDIGM GROUP INC,TMT,Nick Howley,Caucasian/White,0,,0,0,M,0,0,Yes,,BoardEx
122,TWTR,18872,TWITTER INC,TMT,Omid Kordestani,Middle Eastern,0,,0,1,M,0,0,Yes,,BoardEx
123,TYL,10789,TYLER TECHNOLOGIES INC,TMT,John Marr Jr,Caucasian/White,0,,0,0,M,0,0,Yes,,BoardEx
124,TSN,10793,TYSON FOODS INC -CL A,TMT,John Tyson,Caucasian/White,0,,0,0,M,0,0,Yes,,BoardEx
125,UNP,10867,UNION PACIFIC CORP,TMT,Eric Butler,African American/Black,1,1,0,1,M,0,2,No,,Bermiss
126,UNP,10867,UNION PACIFIC CORP,TMT,Rhonda Ferguson,African American/Black,1,1,0,1,F,1,2,Yes,,Bermiss
127,URI,66065,UNITED RENTALS INC,TMT,William Plummer,Caucasian/White,0,1,1,0,M,0,1,No,,Bermiss
128,UNH,10903,UNITEDHEALTH GROUP INC,TMT,Reed Tuckson,African American/Black,1,1,0,1,M,0,1,No,,Bermiss
129,WAB,60979,WABTEC CORP,TMT,Al Neupaver,Caucasian/White,0,,0,0,M,0,0,Yes,,BoardEx
130,WBA,11264,WALGREENS BOOTS ALLIANCE INC,TMT,Jim Skinner,Caucasian/White,0,1,1,0,M,0,2,Yes,,BoardEx
131,WBA,11264,WALGREENS BOOTS ALLIANCE INC,TMT,Kathleen Wilson-Thompson,African American/Black,1,1,0,1,F,1,1,Yes,,Bermiss
132,WEC,11550,WEC ENERGY GROUP INC,TMT,Gale Klappa,Caucasian/White,0,,0,0,M,0,0,Yes,,BoardEx
133,WFC,8007,WELLS FARGO & CO,TMT,Michelle Lee,African American/Black,1,1,0,1,F,1,1,Yes,,Bermiss
134,WFC,8007,WELLS FARGO & CO,TMT,Yvette Hollingsworth Clark,African American/Black,1,1,0,1,F,1,1,Yes,,Bermiss
135,WHR,11465,WHIRLPOOL CORP,TMT,Michael Todman,African American/Black,1,1,0,1,M,0,1,No,,Bermiss
136,XRX,11636,XEROX HOLDINGS CORP,TMT,Barry Rand,African American/Black,1,1,0,1,M,0,3,No,,Bermiss
137,XRX,11636,XEROX HOLDINGS CORP,TMT,Darrell Ford,African American/Black,1,1,0,1,M,0,3,Yes,,Bermiss
138,XRX,11636,XEROX HOLDINGS CORP,TMT,Kevin Warren,African American/Black,1,1,0,1,M,0,3,Yes,,Bermiss
139,YUM,"	12566",YUM! BRANDS INC,TMT,Mirian Graddick,African American/Black,1,1,0,1,F,1,1,Yes,,manually added
140,ZTS,13721,ZOETIS INC,TMT,Clinton Lewis,African American/Black,1,1,0,1,M,0,1,Yes,,Bermiss
