obs,tic,gvkey,conm_x,CrossVerified_ExecType,DirectorName,Ethnicity,Race(black),BE_fromBermissData,Actual_Bermiss_discrepancy,Minority,Gender,Female,Num_Black_TMT,Active2020,CEO_Appointment_date_within_2020,DirectorName_source
169,DISH,60900,DISH NETWORK CORP,TMT,Charlie Ergen,Caucasian/White,0,,0,0,M,0,0,Yes,,BoardEx
170,DIS,3980,DISNEY (WALT) CO,TMT,Dennis Hightower,African American/Black,1,1,0,1,M,0,2,No,,Bermiss
171,DIS,3980,DISNEY (WALT) CO,TMT,Richard Nanula,African American/Black,1,1,0,1,M,0,2,No,,Bermiss
172,DG,4016,DOLLAR GENERAL CORP,CEO,Todd Vasos,Caucasian/White,0,,0,0,M,0,0,Yes,,BoardEx
173,DLTR,31587,DOLLAR TREE INC,TMT,Bob Sasser,Caucasian/White,0,,0,0,M,0,0,Yes,,BoardEx
174,DLTR,31587,DOLLAR TREE INC,CEO,Gary Philbin,Caucasian/White,0,,0,0,M,0,0,Yes,,BoardEx
175,D,4029,DOMINION ENERGY INC,CEO,Tom Farrell II,Caucasian/White,0,,0,0,M,0,0,Yes,,BoardEx
176,DPZ,160211,DOMINO'S PIZZA INC,CEO,Ritch Allison Jr,Caucasian/White,0,1,1,0,M,0,1,Yes,,BoardEx
177,DPZ,160211,DOMINO'S PIZZA INC,TMT,Troy Ellis,African American/Black,1,1,0,1,M,0,1,Yes,,Bermiss
178,DOV,4058,DOVER CORP,CEO,Rich Tobin,Caucasian/White,0,,0,0,M,0,0,Yes,,BoardEx
179,FLT,184700,DRONE DELIVERY CANADA CORP (Asher Resources Corp prior to 06/2016),CEO,Mike Zahra,Caucasian/White,0,,0,0,M,0,0,Yes,,BoardEx
180,DTE,3897,DTE ENERGY CO,TMT,Gerry Anderson,Caucasian/White,0,,0,0,M,0,0,Yes,,BoardEx
181,DTE,3897,DTE ENERGY CO,CEO,Jerry Norcia,Caucasian/White,0,,0,0,M,0,0,Yes,,BoardEx
182,DUK,4093,DUKE ENERGY CORP,CEO,Lynn Good,Caucasian/White,0,,0,0,M,0,0,Yes,,BoardEx
183,DRE,13510,DUKE REALTY CORP,CEO,Jim Connor,Caucasian/White,0,,0,0,M,0,0,Yes,,BoardEx
184,DXC,3336,DXC TECHNOLOGY CO,CEO,Mike Salvino,Caucasian/White,0,,0,0,M,0,0,Yes,,BoardEx
185,EMN,29392,EASTMAN CHEMICAL CO,CEO,Mark Costa,Caucasian/White,0,,0,0,M,0,0,Yes,,BoardEx
186,ECL,4213,ECOLAB INC,CEO,Doug Baker Jr,Caucasian/White,0,,0,0,M,0,0,Yes,,BoardEx
187,EIX,9846,EDISON INTERNATIONAL,CEO,Pedro Pizarro,Hispanic/Latino,0,,0,1,M,0,0,Yes,,BoardEx
