obs,tic,conm_x,gvkey,CrossVerified_ExecType,DirectorName,Ethnicity,Race(black),BE_fromBermissData,ceo_black_discrepancy,Minority,Gender,Female,Num_Black_TMT,TMT_Active_in_2020 (Manual Check),BlackCEO_Appointment_date (within the timeframe),DirectorName_source
225,BRK.B,BERKSHIRE HATHAWAY,2176,TMT,Greg Abel,Caucasian/White,0,,0,0,M,0,0,Yes,,3BoardEx
108,BBY,BEST BUY CO INC,2184,CEO,Corie Barry,Caucasian/White,0,0,0,0,F,1,0,Yes,,3BoardEx
109,BBY,BEST BUY CO INC,2184,TMT,Hubert Joly,Caucasian/White,0,0,0,0,M,0,0,Yes,,3BoardEx
227,BIO,BIO-RAD LABORATORIES INC,2220,CEO,Norman Schwartz,Caucasian/White,0,,0,0,M,0,0,Yes,,3BoardEx
228,BIIB,BIOGEN INC,24468,CEO,Michel Vounatsos,Caucasian/White,0,,0,0,M,0,0,Yes,,3BoardEx
229,BLK,BLACKROCK INC,124434,CEO,Larry Fink,Caucasian/White,0,,0,0,M,0,0,Yes,,3BoardEx
6,BA,BOEING CO,2285,TMT,James Bell,African American/Black,1,1,0,1,M,0,2,No,,2Bermiss
230,BKNG,BOOKING HOLDINGS INC,119314,CEO,Glenn Fogel,Caucasian/White,0,,0,0,M,0,0,Yes,,3BoardEx
,MRK,MERCK & CO INC (Schering-Plough Corp prior to 11/2009),7257,TMT,Mirian Graddick,African American/Black,1,1,0,1,F,1,2,No,,manually added
231,BWA,BORGWARNER INC,28742,CEO,Frederic Lissalde,Caucasian/White,0,,0,0,M,0,0,Yes,,3BoardEx
232,BXP,BOSTON PROPERTIES INC,64925,CEO,Owen Thomas,Caucasian/White,0,,0,0,M,0,0,Yes,,3BoardEx
234,BSX,BOSTON SCIENTIFIC CORP,25279,CEO,Mike Mahoney,Caucasian/White,0,,0,0,M,0,0,Yes,,3BoardEx
235,BSXGF,BELO SUN MINING CORP (Verena Minerals Corp prior to 07/2010),152558,CEO,Peter Tagliamonte,Caucasian/White,0,,0,0,M,0,0,Yes,,3BoardEx
233,BSX,BOSTON SCIENTIFIC CORP,25279,TMT,Mark Eaton,Caucasian/White,0,,0,0,M,0,0,Yes,,3BoardEx
236,BMY,BRISTOL-MYERS SQUIBB CO,2403,CEO,Doctor Giovanni Caforio,Caucasian/White,0,,0,0,M,0,0,Yes,,3BoardEx
