obs,tic,conm_x,gvkey,CrossVerified_ExecType,new_director_name,Ethnicity,Race(black),Minority,Gender,Female,Num_Black_TMT,TMT_Active_in_2020 (Manual Check),BlackCEO_Appointment_date (within the timeframe),new_director_source
133,EL,ESTEE LAUDER COMPANIES INC,61567,CEO,Fabrizio Freda,Caucasian/White,0,0,M,0,2,Yes,,3BoardEx
134,EL,ESTEE LAUDER COMPANIES INC,61567,TMT,Leonard Lauder,Caucasian/White,0,0,M,0,2,Yes,,3BoardEx
135,EL,ESTEE LAUDER COMPANIES INC,61567,TMT,The Hon. Ronald Lauder,Caucasian/White,0,0,M,0,2,Yes,,3BoardEx
136,EL,ESTEE LAUDER COMPANIES INC,61567,TMT,William Lauder,Caucasian/White,0,0,M,0,2,Yes,,3BoardEx
137,EXC,EXELON CORP,8539,CEO,Chris Crane,Caucasian/White,0,0,M,0,1,Yes,,3BoardEx
138,GIS,GENERAL MILLS INC,5071,CEO,Daniel O'Day,Caucasian/White,0,0,M,0,2,Yes,,3BoardEx
139,GIS,GENERAL MILLS INC,5071,CEO,Jeff Harmening,Caucasian/White,0,0,M,0,2,Yes,,3BoardEx
140,GM,GENERAL MOTORS CO,5073,CEO,Mary Barra,Caucasian/White,0,0,F,1,1,Yes,,3BoardEx
141,HD,HOME DEPOT INC,5680,CEO,Craig Menear,Caucasian/White,0,0,M,0,3,Yes,,3BoardEx
142,HII,HUNTINGTON INGALLS IND INC,186310,CEO,Mike Petters,Caucasian/White,0,0,M,0,2,Yes,,3BoardEx
143,KEY,KEYCORP,9783,CEO,Beth Mooney,Caucasian/White,0,0,F,1,2,Yes,,3BoardEx
144,FFIV,F5 INC,121077,CEO,Francois Locoh-Donou,Caucasian/White,0,0,M,0,1,Yes,,2Bermiss
145,LLY,LILLY (ELI) & CO,6730,CEO,Dave Ricks,Caucasian/White,0,0,M,0,3,Yes,,3BoardEx
146,LMT,LOCKHEED MARTIN CORP,6774,CEO,Marillyn Hewson,Caucasian/White,0,0,F,1,1,Yes,,3BoardEx
147,MMC,MARSH & MCLENNAN COS,7065,CEO,Dan Glaser,Caucasian/White,0,0,M,0,0,Yes,,3BoardEx
148,MCD,MCDONALD'S CORP,7154,CEO,Chris Kempczinski,Caucasian/White,0,0,M,0,2,Yes,,3BoardEx
149,HII,HUNTINGTON INGALLS IND INC,186310,TMT,Michael Smith,Caucasian/White,0,0,M,0,2,Yes,,2Bermiss
