num,tic,conm_x,gvkey,ceo_minority,ethnicity (from boardex),ceo_name,ceo_race(black),First,Last,Company,AnnDate,BE
120,REG,REGENCY CENTERS CORP,29099,0,CAUCASIAN/WHITE,,,,,,,
121,ZTS,ZOETIS INC,13721,0,CAUCASIAN/WHITE,,,Clinton,Lewis,Zoetis,5/7/15,1
122,EPAM,EPAM SYSTEMS INC,187697,0,CAUCASIAN/WHITE,,,,,,,
123,MOS,MOSAIC CO,162129,0,CAUCASIAN/WHITE,,,,,,,
124,MNST,MONSTER BEVERAGE CORP,24316,0,CAUCASIAN/WHITE,,,,,,,
125,APD,AIR PRODUCTS & CHEMICALS INC,1209,1,MIDDLE-EASTERN/NORTH AFRICAN,,,,,,,
126,PPL,PPL CORP,8455,0,CAUCASIAN/WHITE,,,,,,,
127,ULTA,ULTA BEAUTY INC,178704,0,CAUCASIAN/WHITE,,,,,,,
128,CCL,CARNIVAL CORPORATION & PLC,13498,1,BLACK/AFRICAN AMERICAN,,,Arnold,Donald,Carnival & plc,6/24/13,1
129,LEN,LENNAR CORP,6669,0,CAUCASIAN/WHITE,,,,,,,
130,NCLH,NORWEGIAN CRUISE LINE HLDGS,104432,1,HISPANIC/LATIN AMERICAN,,,,,,,
131,RCL,ROYAL CARIBBEAN GROUP,28191,0,CAUCASIAN/WHITE,,,,,,,
132,CMG,CHIPOTLE MEXICAN GRILL INC,165914,0,CAUCASIAN/WHITE,,,,,,,
133,EW,EDWARDS LIFESCIENCES CORP,133366,0,CAUCASIAN/WHITE,,,,,,,
134,SWKS,SKYWORKS SOLUTIONS INC,1327,0,CAUCASIAN/WHITE,,,,,,,
135,HSY,HERSHEY CO,5597,0,CAUCASIAN/WHITE,,,,,,,
136,LVS,LAS VEGAS SANDS CORP,161844,0,CAUCASIAN/WHITE,,,,,,,
137,WYNN,WYNN RESORTS LTD,149318,0,CAUCASIAN/WHITE,,,,,,,
138,BR,BROADRIDGE FINANCIAL SOLUTNS,176928,0,CAUCASIAN/WHITE,,,,,,,
139,KIM,KIMCO REALTY CORP,24731,0,CAUCASIAN/WHITE,,,,,,,
140,FLIR,FLIR SYSTEMS INC,28477,0,CAUCASIAN/WHITE,,,,,,,
141,FE,FIRSTENERGY CORP,8099,0,CAUCASIAN/WHITE,,,,,,,
142,BRK.B,BERKSHIRE HATHAWAY,2176,0,CAUCASIAN/WHITE,,,,,,,
143,UNP,UNION PACIFIC CORP,10867,0,CAUCASIAN/WHITE,,,Eric,Butler,Union Paci_c,11/17/16,1
143,UNP,UNION PACIFIC CORP,10867,0,CAUCASIAN/WHITE,,,Eric,Butler,Union Paci_c,3/15/12,1
143,UNP,UNION PACIFIC CORP,10867,0,CAUCASIAN/WHITE,,,Rhonda,Ferguson,Union Paci_c,6/7/16,1
144,DE,DEERE & CO,3835,0,CAUCASIAN/WHITE,,,,,,,
145,RF,REGIONS FINANCIAL CORP,4674,0,CAUCASIAN/WHITE,,,,,,,
146,VMC,VULCAN MATERIALS CO,11228,0,CAUCASIAN/WHITE,,,,,,,
147,APA,APA CORP,1678,0,CAUCASIAN/WHITE,,,,,,,
148,BKR,BAKER HUGHES CO,32106,0,CAUCASIAN/WHITE,,,,,,,
149,CCI,CROWN CASTLE INC,113490,0,CAUCASIAN/WHITE,,,,,,,
150,CNP,CENTERPOINT ENERGY INC,5742,0,CAUCASIAN/WHITE,,,,,,,
151,COP,CONOCOPHILLIPS,8549,0,CAUCASIAN/WHITE,,,,,,,
152,CTRA,COTERRA ENERGY INC,20548,0,CAUCASIAN/WHITE,,,,,,,
153,EOG,EOG RESOURCES INC,16478,0,CAUCASIAN/WHITE,,,,,,,
154,HAL,HALLIBURTON CO,5439,0,CAUCASIAN/WHITE,,,,,,,
155,HPE,HEWLETT PACKARD ENTERPRISE,26156,1,HISPANIC/LATIN AMERICAN,,,,,,,
156,KMI,KINDER MORGAN INC,6310,0,CAUCASIAN/WHITE,,,,,,,
157,LYB,LYONDELLBASELL INDUSTRIES NV,294524,1,INDIAN/SOUTH ASIAN,,,,,,,
158,MRO,MARATHON OIL CORP,7017,0,CAUCASIAN/WHITE,,,,,,,
159,NOV,NOV INC,63892,0,CAUCASIAN/WHITE,,,,,,,
160,NRG,NRG ENERGY INC,135990,1,HISPANIC/LATIN AMERICAN,,,,,,,
161,OXY,OCCIDENTAL PETROLEUM CORP,8068,0,CAUCASIAN/WHITE,,,,,,,
162,PSX,PHILLIPS 66,170841,0,CAUCASIAN/WHITE,,,,,,,
163,PWR,QUANTA SERVICES INC,66446,0,CAUCASIAN/WHITE,,,,,,,
164,SLB,SCHLUMBERGER LTD,9465,0,CAUCASIAN/WHITE,,,,,,,
165,SYY,SYSCO CORP,10247,0,CAUCASIAN/WHITE,,,,,,,
166,TRGP,TARGA RESOURCES CORP,185532,0,CAUCASIAN/WHITE,,,,,,,
167,WM,WASTE MANAGEMENT INC,14477,0,CAUCASIAN/WHITE,,,,,,,
168,MTB,M & T BANK CORP,4699,0,CAUCASIAN/WHITE,,,Rene,Jones,M&T Bank,12/20/17,1
169,CARR,CARRIER GLOBAL CORP,36191,0,CAUCASIAN/WHITE,,,,,,,
170,NEE,NEXTERA ENERGY INC,4517,0,CAUCASIAN/WHITE,,,,,,,
171,SBAC,SBA COMMUNICATIONS CORP,121382,0,CAUCASIAN/WHITE,,,,,,,
172,BWA,BORGWARNER INC,28742,0,CAUCASIAN/WHITE,,,,,,,
173,NI,NISOURCE INC,7974,0,CAUCASIAN/WHITE,,,Lloyd,Yates,NiSource,1/28/22,1
173,NI,NISOURCE INC,7974,0,CAUCASIAN/WHITE,,,Donald,Brown,NiSource,3/24/15,1
174,ES,EVERSOURCE ENERGY,7970,0,CAUCASIAN/WHITE,,,,,,,
175,CTAS,CINTAS CORP,3062,0,CAUCASIAN/WHITE,,,Phillip,Holloman,Cintas,1/19/08,1
176,FITB,FIFTH THIRD BANCORP,4640,0,CAUCASIAN/WHITE,,,Greg,Carmichael,Fifth Third Bancorp,7/8/15,0
177,KR,KROGER CO,6502,0,CAUCASIAN/WHITE,,,,,,,
178,PG,PROCTER & GAMBLE CO,8762,0,CAUCASIAN/WHITE,,,,,,,
179,IPGP,IPG PHOTONICS CORP,175955,0,CAUCASIAN/WHITE,,,,,,,
180,WAT,WATERS CORP,61574,0,CAUCASIAN/WHITE,,,,,,,
181,WELL,WELLTOWER INC,5543,0,CAUCASIAN/WHITE,,,,,,,
