num,tic,conm_x,gvkey,ceo_minority,ethnicity (from boardex),ceo_name,ceo_race(black),First,Last,Company,AnnDate,BE
379,BA,BOEING CO,2285,0,CAUCASIAN/WHITE,,,James,Bell,Boeing Company,3/7/05,1
379,BA,BOEING CO,2285,0,CAUCASIAN/WHITE,,,James,Bell,Boeing,1/6/04,1
384,EXC,EXELON CORP,8539,0,CAUCASIAN/WHITE,,,Frank,Clark,Exelon,10/2/01,1
389,MCD,MCDONALD'S CORP,7154,0,CAUCASIAN/WHITE,,,Donald,Thompson,McDonald¡¯s,1/11/10,1
389,MCD,MCDONALD'S CORP,7154,0,CAUCASIAN/WHITE,,,Raymond,Mines,McDonald¡¯s,9/28/98,1
390,MDLZ,MONDELEZ INTERNATIONAL INC,142953,0,CAUCASIAN/WHITE,,,Mary Beth,West,Kraft Foods,10/29/07,1
392,NTRS,NORTHERN TRUST CORP,7982,0,CAUCASIAN/WHITE,,,Shundrawn,Thomas,Northern Trust,5/28/14,1
393,UAL,UNITED AIRLINES HOLDINGS INC,10795,0,CAUCASIAN/WHITE,,,Brett,Hart,United Airlines,10/19/15,1
401,FFIV,F5 INC,121077,1,BLACK/AFRICAN AMERICAN,,,Fran_ois,Locoh-Donou,F5 Networks,1/31/17,1
416,GILD,GILEAD SCIENCES INC,24856,0,CAUCASIAN/WHITE,,,Robin,Washington,Gilead Sciences,4/21/08,1
438,CMCSA,COMCAST CORP,3226,0,CAUCASIAN/WHITE,,,Kimberley,Harris,Comcast,7/16/13,1
441,ETR,ENTERGY CORP,7366,0,CAUCASIAN/WHITE,,,Marcus,Brown,Entergy,1/31/12,1
441,ETR,ENTERGY CORP,7366,0,CAUCASIAN/WHITE,,,Roderick,West,Entergy,6/7/10,1
448,WFC,WELLS FARGO & CO,8007,0,CAUCASIAN/WHITE,,,Yvette,Hollingsworth Clark,Wells Fargo,5/14/12,1
448,WFC,WELLS FARGO & CO,8007,0,CAUCASIAN/WHITE,,,Michelle,Lee,Wells Fargo,10/16/14,1
451,AXP,AMERICAN EXPRESS CO,1447,0,CAUCASIAN/WHITE,,,Kenneth,Chenault,American Express,4/27/99,1
