"coid","tic","conm_x","gvkey","ceo_name","0first","last","ceo_ethnicity","ceo_race(black)","ceo_minority","ceo_gender","ceo_female","2020_active","2020_active_may26_dec31","2020_two_ceos","2020_co-ceo","2020_ceo_change","2020_ceo_change_date","2020_in_or_out","ethnicity_boardex","BE_from_bermiss","Actual_Bermiss_discrepancy","RoleType_boardex","RoleName_boardex","Interim_boardex","DateStartRole_boardex","DateEndRole_boardex","2BE","2first"
32,"NUE","NUCOR CORP",8030,"Leon J. Topalian","Leon","Topalian","Caucasian/White",0,0,"M",0,1,1,0,0,1,"20-Jan","incoming","CAUCASIAN/WHITE",NA,0,"CEO",NA,0,"1/1/20",NA,NA,NA
32,"NUE","NUCOR CORP",8030,"John J. Ferriola","John","Ferriola","Caucasian/White",0,0,"M",0,1,0,0,0,1,"20-Jan","outgoing","CAUCASIAN/WHITE",NA,0,"CEO",NA,0,"1/1/13","12/31/19",NA,NA
33,"SEE","SEALED AIR CORP",9555,"Ted Doheny II","Ted","Doheny","Caucasian/White",0,0,"M",0,1,1,0,0,0,NA,NA,"CAUCASIAN/WHITE",NA,0,"CEO","President/CEO",0,"1/1/18","10/23/23",NA,NA
34,"TFC","TRUIST FINANCIAL CORP",11856,"Kelly King","Kelly","King","Caucasian/White",0,0,"M",0,1,1,0,0,0,NA,NA,"CAUCASIAN/WHITE",NA,0,"CEO","Chairman/CEO",0,"12/20/16","9/12/21",0,"Roger"
35,"XRAY","DENTSPLY SIRONA INC",13700,"Don Casey Jr","Don","Casey","Caucasian/White",0,0,"M",0,1,1,0,0,0,NA,NA,"CAUCASIAN/WHITE",NA,0,"CEO","CEO",0,"2/12/18","4/19/22",NA,NA
36,"ALGN","ALIGN TECHNOLOGY INC",141384,"Joe Hogan","Joe","Hogan","Caucasian/White",0,0,"M",0,1,1,0,0,0,NA,NA,"CAUCASIAN/WHITE",NA,0,"CEO","President/CEO",0,"6/1/15",NA,NA,NA
37,"FCX","FREEPORT-MCMORAN INC",14590,"Richard Adkerson","Richard","Adkerson","Caucasian/White",0,0,"M",0,1,1,0,0,0,NA,NA,"CAUCASIAN/WHITE",NA,0,"CEO","Vice Chairman/President/CEO",0,"5/31/13","2/2/21",NA,NA
38,"MCHP","MICROCHIP TECHNOLOGY INC",27965,"Steve Sanghi","Steve","Sanghi","Asian/Indian",0,1,"M",0,1,1,0,0,0,NA,NA,"INDIAN/SOUTH ASIAN",NA,0,"CEO","Chairman/CEO",0,"2/3/16","3/1/21",NA,NA
39,"NLOK","NORTONLIFELOCK INC (Pre Symantec)",15855,"Vincent Pilette","Vincent","Pilette","Caucasian/White",0,0,"M",0,1,1,0,0,0,NA,NA,"CAUCASIAN/WHITE",NA,1,"CEO",NA,0,"4/14/99",NA,NA,NA
40,"ON","ON SEMICONDUCTOR CORP",134932,"Keith Jackson","Keith","Jackson","Caucasian/White",0,0,"M",0,1,1,0,0,0,NA,NA,"CAUCASIAN/WHITE",NA,0,"CEO","President/CEO",0,"11/19/02","12/7/20",NA,NA
41,"PNW","PINNACLE WEST CAPITAL CORP",1075,"Jeff Guldner","Jeff","Guldner","Caucasian/White",0,0,"M",0,1,1,0,0,0,NA,NA,"CAUCASIAN/WHITE",NA,0,"CEO","Chairman/President/CEO",0,"11/15/19",NA,NA,NA
42,"RSG","REPUBLIC SERVICES INC",112168,"Don Slager","Don","Slager","Caucasian/White",0,0,"M",0,1,1,0,0,0,NA,NA,"CAUCASIAN/WHITE",NA,0,"CEO","CEO",0,"5/1/19","5/21/21",NA,NA
43,"DLTR","DOLLAR TREE INC",31587,"Gary Philbin","Gary","Philbin","Caucasian/White",0,0,"M",0,1,1,0,0,0,NA,NA,"CAUCASIAN/WHITE",NA,0,"CEO","CEO",0,"12/9/19","7/20/20",NA,NA
44,"CEG","CONSTELLATION ENE CORP",40614,"Joseph Dominguez","Joseph","Dominguez","Hispanic/Latino",0,1,"M",0,1,1,0,0,0,NA,NA,"CAUCASIAN/WHITE",NA,0,"CEO",NA,0,"3/22/24",NA,NA,NA
45,"TROW","PRICE (T. ROWE) GROUP",12138,"William Stromberg","William","Stromberg","Caucasian/White",0,0,"M",0,1,1,0,0,0,NA,NA,"CAUCASIAN/WHITE",0,0,"CEO","Chairman/President/CEO",0,"4/25/19","2/11/21",0,"William"
46,"UAA","UNDER ARMOUR INC",165052,"Patrik Frisk","Patrik","Frisk","Caucasian/White",0,0,"M",0,1,1,0,0,0,NA,NA,"CAUCASIAN/WHITE",NA,0,"CEO",NA,0,"1/1/20","6/1/22",NA,NA
47,"EXR","EXTRA SPACE STORAGE INC",160479,"Joe Margolis","Joe","Margolis","Caucasian/White",0,0,"M",0,1,1,0,0,0,NA,NA,"CAUCASIAN/WHITE",NA,0,"CEO","CEO",0,"5/18/17",NA,NA,NA
48,"ZION","ZIONS BANCORPORATION NA",11687,"Harris Simmons","Harris","Simmons","Caucasian/White",0,0,"M",0,1,1,0,0,0,NA,NA,"CAUCASIAN/WHITE",NA,0,"CEO","Chairman/CEO",0,"3/4/14",NA,NA,NA
49,"DAL","DELTA AIR LINES INC",3851,"Ed Bastian","Ed","Bastian","Caucasian/White",0,0,"M",0,1,1,0,0,0,NA,NA,"CAUCASIAN/WHITE",NA,0,"CEO","CEO",0,"5/2/16",NA,NA,NA
50,"EFX","EQUIFAX INC",4423,"Mark Begor","Mark","Begor","Caucasian/White",0,0,"M",0,1,1,0,0,0,NA,NA,"CAUCASIAN/WHITE",NA,0,"CEO","CEO",0,"4/16/18",NA,NA,NA
51,"FLT","FLEETCOR TECHNOLOGIES INC",184700,"Ron Clarke","Ron","Clarke","Caucasian/White",0,0,"M",0,1,1,0,0,0,NA,NA,"CAUCASIAN/WHITE",NA,0,"CEO","Chairman/President/CEO",0,"12/15/10",NA,NA,NA
52,"GPN","GLOBAL PAYMENTS INC",141913,"Jeff Sloan","Jeff","Sloan","Caucasian/White",0,0,"M",0,1,1,0,0,0,NA,NA,"CAUCASIAN/WHITE",NA,0,"CEO","CEO",0,"6/30/14","6/1/23",NA,NA
53,"ICE","INTERCONTINENTAL EXCHANGE",163610,"Jeff Sprecher","Jeff","Sprecher","Caucasian/White",0,0,"M",0,1,1,0,0,0,NA,NA,"CAUCASIAN/WHITE",NA,0,"CEO","Chairman/CEO",0,"11/1/02",NA,NA,NA
54,"IVZ","INVESCO LTD",29804,"Marty Flanagan","Marty","Flanagan","Caucasian/White",0,0,"M",0,1,1,0,0,0,NA,NA,"CAUCASIAN/WHITE",NA,0,"CEO","President/CEO",0,"8/1/05","6/30/23",NA,NA
55,"KO","COCA-COLA CO",3144,"James Quincey","James","Quincey","Caucasian/White",0,0,"M",0,0,1,0,0,0,NA,NA,"CAUCASIAN/WHITE",1,1,"CEO","Chairman/CEO",0,"4/24/19",NA,NA,NA
56,"NSC","NORFOLK SOUTHERN CORP",7923,"Jim Squires","Jim","Squires","Caucasian/White",0,0,"M",0,1,1,0,0,0,NA,NA,"CAUCASIAN/WHITE",NA,0,"CEO","Chairman/President/CEO",0,"10/1/15","12/1/21",NA,NA
57,"NWL","NEWELL BRANDS INC",7875,"Ravi Saligram","Ravi","Saligram","Asian/Indian",0,1,"M",0,1,1,0,0,0,NA,NA,"INDIAN/SOUTH ASIAN",NA,0,"CEO","President/CEO",0,"10/2/19","5/5/22",NA,NA
58,"PHM","PULTEGROUP INC",8823,"Ryan Marshall","Ryan","Marshall","Caucasian/White",0,0,"M",0,1,1,0,0,0,NA,NA,"CAUCASIAN/WHITE",NA,0,"CEO","President/CEO",0,"9/8/16",NA,NA,NA
59,"ROL","ROLLINS INC",9225,"Gary Rollins","Gary","Rollins","Caucasian/White",0,0,"M",0,1,1,0,0,0,NA,NA,"CAUCASIAN/WHITE",NA,0,"CEO","Vice Chairman/CEO",0,"1/22/13","8/25/20",NA,NA
60,"SO","SOUTHERN CO",9850,"Tom Fanning","Tom","Fanning","Caucasian/White",0,0,"M",0,1,1,0,0,0,NA,NA,"CAUCASIAN/WHITE",1,0,"CEO","Chairman/President/CEO",0,"12/1/10","3/31/23",NA,NA
61,"UPS","UNITED PARCEL SERVICE INC",10920,"Carol Tome","Carol","Tome","Caucasian/White",0,0,"F",1,1,1,0,0,1,"6/1/20","incoming","CAUCASIAN/WHITE",0,0,"CEO","Chairman/CEO",0,"6/1/20",NA,NA,NA
61,"UPS","UNITED PARCEL SERVICE INC",10920,"David Abney","David","Abney","Caucasian/White",0,0,"M",0,1,1,0,0,1,"5/31/20","outgoing","CAUCASIAN/WHITE",0,0,"CEO","Chairman/CEO",0,"2/10/16","5/31/20",NA,NA
62,"WRK","WESTROCK CO",29830,"Steve Voorhees","Steve","Voorhees","Caucasian/White",0,0,"M",0,1,1,0,0,0,NA,NA,"CAUCASIAN/WHITE",NA,0,"CEO","President/CEO",0,"7/1/15","3/15/21",NA,NA
63,"JKHY","HENRY (JACK) & ASSOCIATES",11811,"Dave Foss","Dave","Foss","Caucasian/White",0,0,"M",0,1,1,0,0,0,NA,NA,"CAUCASIAN/WHITE",NA,0,"CEO","President/CEO",0,"7/1/17","7/1/21",NA,NA
64,"IQV","IQVIA HOLDINGS INC",17928,"Ari Bousbib","Ari","Bousbib","Caucasian/White",0,0,"M",0,1,1,0,0,0,NA,NA,"CAUCASIAN/WHITE",NA,0,"CEO","Chairman/President/CEO",0,"10/3/16",NA,NA,NA
65,"DXC","DXC TECHNOLOGY CO",3336,"Mike Salvino","Mike","Salvino","Caucasian/White",0,0,"M",0,1,1,0,0,0,NA,NA,"CAUCASIAN/WHITE",NA,0,"CEO","President/CEO",0,"9/12/19","7/26/22",NA,NA
66,"FANG","DIAMONDBACK ENERGY INC",170750,"Travis Stice","Travis","Stice","Caucasian/White",0,0,"M",0,1,1,0,0,0,NA,NA,"CAUCASIAN/WHITE",NA,0,"CEO","CEO",0,"1/1/17","2/22/22",NA,NA
67,"MO","ALTRIA GROUP INC",8543,"Howard A. Willard III","Howard","Wilard","Caucasian/White",0,0,"M",0,1,1,0,0,1,"20-Apr","outgoing","CAUCASIAN/WHITE",NA,0,"CEO",NA,0,"5/17/18","4/16/20",NA,NA
67,"MO","ALTRIA GROUP INC",8543,"William F. Gifford Jr.","William","Gifford","Caucasian/White",0,0,"M",0,1,1,0,0,1,"20-Apr","incoming","CAUCASIAN/WHITE",NA,0,"CEO",NA,0,"4/16/20",NA,NA,NA
68,"PFG","PRINCIPAL FINANCIAL GRP INC",145701,"Dan Houston","Dan","Houston","Caucasian/White",0,0,"M",0,1,1,0,0,0,NA,NA,"CAUCASIAN/WHITE",NA,0,"CEO","Chairman/President/CEO",0,"5/17/16",NA,NA,NA
69,"COF","CAPITAL ONE FINANCIAL CORP",30990,"Rich Fairbank","Rich","Fairbank","Caucasian/White",0,0,"M",0,1,1,0,0,0,NA,NA,"CAUCASIAN/WHITE",NA,0,"CEO","Chairman/CEO",0,"4/24/03",NA,NA,NA
70,"GD","GENERAL DYNAMICS CORP",5046,"Phebe Novakovic","Phebe","Novakovic","Caucasian/White",0,0,"F",1,1,1,0,0,0,NA,NA,"CAUCASIAN/WHITE",NA,0,"CEO","Chairman/CEO",0,"1/1/13",NA,NA,NA
71,"HLT","HILTON WORLDWIDE HOLDINGS",5643,"Chris Nassetta","Chris","Nassetta","Caucasian/White",0,0,"M",0,1,1,0,0,0,NA,NA,"CAUCASIAN/WHITE",NA,0,"CEO","President/CEO",0,"12/12/13",NA,NA,NA
72,"LDOS","LEIDOS HOLDINGS INC",165123,"Roger Krone","Roger","Krone","Caucasian/White",0,0,"M",0,1,1,0,0,0,NA,NA,"CAUCASIAN/WHITE",NA,0,"CEO","Chairman/CEO",0,"3/20/15","5/3/23",NA,NA
73,"NOC","NORTHROP GRUMMAN CORP",7985,"Kathy Warden","Kathy","Warden","Caucasian/White",0,0,"F",1,1,1,0,0,0,NA,NA,"CAUCASIAN/WHITE",NA,0,"CEO","Chair/President/CEO",0,"8/1/19",NA,NA,NA
74,"VRSN","VERISIGN INC",66368,"D. James Bidzos","D. James","Bidzos","Caucasian/White",0,0,"M",0,1,1,0,0,0,NA,NA,"CAUCASIAN/WHITE",NA,0,"CEO",NA,0,"8/1/11",NA,NA,NA
75,"ZBH","ZIMMER BIOMET HOLDINGS INC",144559,"Bryan Hanson","Bryan","Hanson","Caucasian/White",0,0,"M",0,1,1,0,0,0,NA,NA,"CAUCASIAN/WHITE",NA,0,"CEO","President/CEO",0,"12/19/17","5/14/21",0,"Steven"
76,"LEG","LEGGETT & PLATT INC",6649,"Karl G. Glassman","Karl","Glassman","Caucasian/White",0,0,"M",0,1,1,0,0,0,NA,NA,"CAUCASIAN/WHITE",NA,0,"CEO",NA,0,"1/1/16","12/31/21",NA,NA
77,"AES","AES CORP (THE)",24216,"Doctor Andres Gluski Weilert","Doctor","Weilert","Hispanic/Latino",0,1,"M",0,1,1,0,0,0,NA,NA,"HISPANIC/LATIN AMERICAN",NA,0,"CEO","President/CEO",0,"9/30/11",NA,NA,NA
78,"AVB","AVALONBAY COMMUNITIES INC",29875,"Tim Naughton","Tim","Naughton","Caucasian/White",0,0,"M",0,1,1,0,0,0,NA,NA,"CAUCASIAN/WHITE",NA,0,"CEO","Chairman/President/CEO",0,"5/22/13","2/1/21",NA,NA
79,"POOL","POOL CORP",61420,"Pete Arvan","Pete","Arvan","Caucasian/White",0,0,"M",0,1,1,0,0,0,NA,NA,"CAUCASIAN/WHITE",NA,0,"CEO","President/CEO",0,"7/31/19",NA,NA,NA
80,"D","DOMINION ENERGY INC",4029,"Tom Farrell II","Tom","Farrell","Caucasian/White",0,0,"M",0,1,1,0,0,0,NA,NA,"CAUCASIAN/WHITE",NA,0,"CEO","Chairman/President/CEO",0,"4/27/07","10/1/20",NA,NA
81,"MPC","MARATHON PETROLEUM CORP",186989,"Marvin Haasen","Marvin","Haasen","Caucasian/White",0,0,"M",0,1,1,0,0,0,NA,NA,"CAUCASIAN/WHITE",NA,0,"CEO","President/CEO",0,"11/1/12","7/17/23",NA,NA
82,"SJM","SMUCKER (JM) CO",9777,"Mark Smucker","Mark","Smucker","Caucasian/White",0,0,"M",0,1,1,0,0,0,NA,NA,"CAUCASIAN/WHITE",NA,0,"CEO","President/CEO",0,"5/1/16","8/17/22",NA,NA
83,"TFX","TELEFLEX INC",10407,"Liam Kelly","Liam","Kelly","Caucasian/White",0,0,"M",0,0,0,0,0,0,NA,NA,"CAUCASIAN/WHITE",NA,0,"CEO","President/CEO",0,"5/4/18","5/1/20",1,"Eric"
84,"CERN","CERNER CORP",12850,"D Shafer","D","Shafer","Caucasian/White",0,0,"M",0,1,1,0,0,0,NA,NA,"PREFER NOT TO DISCLOSE",NA,0,"CEO","Chairman/CEO",0,"2/1/18","10/1/21",NA,NA
85,"GLW","CORNING INC",3532,"Wendell P. Weeks","Wendell","Weeks","Caucasian/White",0,0,"M",0,1,1,0,0,0,NA,NA,"CAUCASIAN/WHITE",NA,0,"CEO",NA,0,"4/5/24",NA,NA,NA
86,"CMI","CUMMINS INC",3650,"Tom Linebarger","Tom","Linebarger","Caucasian/White",0,0,"M",0,1,1,0,0,0,NA,NA,"CAUCASIAN/WHITE",NA,0,"CEO","Chairman/CEO",0,"1/1/12","8/1/22",NA,NA
87,"TSCO","TRACTOR SUPPLY CO",29736,"Hal Lawton","Hal","Lawton","Caucasian/White",0,0,"M",0,1,1,0,0,0,NA,NA,"CAUCASIAN/WHITE",NA,0,"CEO",NA,0,"1/13/20",NA,NA,NA
88,"LUMN","LUMEN TECHNOLOGIES INC",2884,"Jeff Storey","Jeff","Storey","Caucasian/White",0,0,"M",0,1,1,0,0,0,NA,NA,"CAUCASIAN/WHITE",NA,0,"CEO","President/CEO",0,"5/23/18","11/7/22",NA,NA
89,"CINF","CINCINNATI FINANCIAL CORP",14824,"Steve Johnston","Steve","Johnston","Caucasian/White",0,0,"M",0,0,0,0,0,0,NA,NA,"CAUCASIAN/WHITE",NA,0,"CEO","President/CEO",0,"5/2/11","5/2/20",NA,NA
90,"ANSS","ANSYS INC",63080,"Doctor Ajei Gopal","Doctor","Gopal","Asian/Indian",0,1,"M",0,1,1,0,0,0,NA,NA,"INDIAN/SOUTH ASIAN",NA,0,"CEO","President/CEO",0,"1/1/17",NA,NA,NA
91,"VTRS","VIATRIS INC",7637,"Michael Goettler","Michael","Goettler","Caucasian/White",0,0,"M",0,1,1,0,0,0,NA,NA,"CAUCASIAN/WHITE",NA,0,"CEO",NA,0,"11/16/20",NA,NA,NA
92,"FISV","FISERV INC",12635,"Jeffrey W. Yabuki","Jeffrey","Yabuki","Caucasian/White",0,0,"M",0,1,1,1,0,1,"7/1/20","outgoing",NA,NA,0,"CEO","President/CEO",0,NA,NA,NA,NA
92,"FISV","FISERV INC",12635,"Frank Bisignano","Frank","Bisignano","Caucasian/White",0,0,"M",0,1,1,1,0,1,"7/1/20","incoming",NA,NA,0,"CEO","Chairman/CEO",0,"5/1/12","7/1/20",NA,NA
92,"FISV","FISERV INC",12635,"Frank J. Bisignano","Frank","Bisignano","Caucasian/White",0,0,"M",0,1,1,0,0,0,NA,NA,"ASIAN (EXCLUDE INDIAN/SOUTH ASIAN)",NA,0,"CEO",NA,0,"7/1/20",NA,NA,NA
93,"ORLY","O'REILLY AUTOMOTIVE INC",28180,"Gregory D. Johnson","Gregory","Johnson","Caucasian/White",0,0,"M",0,1,1,0,0,0,NA,NA,"CAUCASIAN/WHITE",NA,0,"CEO",NA,0,"1/8/18",NA,NA,NA
94,"CMS","CMS ENERGY CORP",3439,"Patti Poppe","Patti","Poppe","Caucasian/White",0,0,"F",1,1,1,1,0,1,"12/1/20","incoming",NA,NA,0,"CEO","President/CEO",0,NA,NA,NA,NA
94,"CMS","CMS ENERGY CORP",3439,"Garrick Rochow","Garrick","Rochow","Caucasian/White",0,0,"M",1,1,1,1,0,1,"12/1/20","outgoing","CAUCASIAN/WHITE",1,0,"CEO","President/CEO",0,"7/1/16","12/1/20",NA,NA
95,"LHX","L3HARRIS TECHNOLOGIES INC",5492,"Bill Brown","Bill","Brown","Caucasian/White",0,0,"M",0,1,1,0,0,0,NA,NA,"CAUCASIAN/WHITE",NA,0,"CEO","Chairman (Executive)/CEO",0,"6/29/19","6/29/21",NA,NA
96,"DOW","DOW INC",34443,"James R. Fitterling","James","Fitterling","Caucasian/White",0,0,"M",0,1,1,0,0,0,NA,NA,"CAUCASIAN/WHITE",NA,0,"CEO",NA,0,"7/1/18",NA,NA,NA
