"coid","tic","conm_x","gvkey","ceo_name","0first","last","ceo_ethnicity","ceo_race(black)","ceo_minority","ceo_gender","ceo_female","2020_active","2020_active_may26_dec31","2020_two_ceos","2020_co-ceo","2020_ceo_change","2020_ceo_change_date","2020_in_or_out","ethnicity_boardex","BE_from_bermiss","Actual_Bermiss_discrepancy","RoleType_boardex","RoleName_boardex","Interim_boardex","DateStartRole_boardex","DateEndRole_boardex","2BE","2first"
198,"TDY","TELEDYNE TECHNOLOGIES INC",126721,"Robert Mehrabian","Robert","Mehrabian","Middle Eastern",0,1,"M",0,1,1,0,0,0,NA,NA,"CAUCASIAN/WHITE",NA,0,"CEO",NA,0,"11/15/18",NA,NA,NA
199,"HWM","HOWMET AEROSPACE INC",28192,"John C. Plant","John","Plant","Caucasian/White",0,0,"M",0,1,1,0,0,0,NA,NA,"CAUCASIAN/WHITE",NA,0,"CEO",NA,0,"4/1/20",NA,NA,NA
200,"KHC","KRAFT HEINZ CO",5568,"Miguel Patricio","Miguel","Patricio","Hispanic/Latino",0,1,"M",0,1,1,0,0,0,NA,NA,NA,NA,0,"CEO",NA,0,"7/1/19",NA,NA,NA
201,"PNC","PNC FINANCIAL SVCS GROUP INC",8245,"William Demchak","William","Demchak","Caucasian/White",0,0,"M",0,1,1,0,0,0,NA,NA,"CAUCASIAN/WHITE",NA,0,"CEO","Chairman/President/CEO",0,"4/22/14","2/20/24",NA,NA
202,"PPG","PPG INDUSTRIES INC",8247,"Michael McGarry","Michael","McGarry","Caucasian/White",0,0,"M",0,1,1,0,0,0,NA,NA,"CAUCASIAN/WHITE",NA,0,"CEO","Chairman/CEO",0,"9/1/16","1/1/23",NA,NA
203,"WAB","WABTEC CORP",60979,"Rafael Santana","Rafael","Santana","Hispanic/Latino",0,1,"M",0,1,1,0,0,0,NA,NA,"HISPANIC/LATIN AMERICAN",NA,0,"CEO","President/CEO",0,"7/1/19",NA,NA,NA
204,"CTLT","CATALENT INC",20228,"John Chiminski","John","Chiminski","Caucasian/White",0,0,"M",0,1,1,0,0,0,NA,NA,"CAUCASIAN/WHITE",NA,0,"CEO","Chairman/CEO",0,"2/13/19","7/1/22",NA,NA
205,"DXCM","DEXCOM INC",162887,"Kevin Sayer","Kevin","Sayer","Caucasian/White",0,0,"M",0,1,1,0,0,0,NA,NA,"CAUCASIAN/WHITE",NA,0,"CEO","Chairman/President/CEO",0,"7/30/18",NA,NA,NA
206,"ILMN","ILLUMINA INC",138205,"Francis DeSouza","Francis","DeSouza","Asian/Indian",0,1,"M",0,1,1,0,0,0,NA,NA,"INDIAN/SOUTH ASIAN",NA,0,"CEO","President/CEO",0,"7/5/16","6/11/23",NA,NA
207,"O","REALTY INCOME CORP",30822,"Sumit Roy","Sumit","Roy","Asian/Indian",0,1,"M",0,1,1,0,0,0,NA,NA,"INDIAN/SOUTH ASIAN",NA,0,"CEO","President/CEO",0,"10/16/18",NA,NA,NA
208,"QCOM","QUALCOMM INC",24800,"Steve Mollenkopf","Steve","Mollenkopf","Caucasian/White",0,0,"M",0,1,1,1,0,0,NA,NA,"CAUCASIAN/WHITE",NA,0,"CEO","CEO",0,"3/4/14","6/30/21",NA,NA
209,"RMD","RESMED INC",31887,"Mick Farrell","Mick","Farrell","Caucasian/White",0,0,"M",0,1,1,0,0,0,NA,NA,"OTHER",NA,0,"CEO","CEO",0,"3/1/13","1/25/23",NA,NA
210,"SRE","SEMPRA ENERGY",8272,"Jeffrey W. Martin","Jeffrey","Martin","Caucasian/White",0,0,"M",0,1,1,0,0,0,NA,NA,"CAUCASIAN/WHITE",0,0,"CEO",NA,0,NA,NA,0,"Christopher"
211,"JNJ","JOHNSON & JOHNSON",6266,"Alex Gorsky","Alex","Gorsky","Caucasian/White",0,0,"M",0,1,1,0,0,0,NA,NA,"CAUCASIAN/WHITE",NA,0,"CEO","Chairman/CEO",0,"12/28/12","1/3/22",NA,NA
212,"CFG","CITIZENS FINANCIAL GROUP INC",21825,"Bruce van Saun","Bruce","Saun","Caucasian/White",0,0,"M",0,1,1,0,0,0,NA,NA,"CAUCASIAN/WHITE",NA,0,"CEO","Chairman/CEO",0,"9/24/14",NA,NA,NA
213,"CVS","CVS HEALTH CORP",7241,"Larry Merlo","Larry","Merlo","Caucasian/White",0,0,"M",0,1,1,0,0,0,NA,NA,"CAUCASIAN/WHITE",NA,0,"CEO","President/CEO",0,"3/1/11","2/1/21",NA,NA
214,"HAS","HASBRO INC",5518,"Brian Goldner","Brian","Goldner","Caucasian/White",0,0,"M",0,1,1,0,0,0,NA,NA,"CAUCASIAN/WHITE",NA,0,"CEO","Chairman/CEO",0,"2/6/17","10/12/21",NA,NA
215,"TXT","TEXTRON INC",10519,"Scott Donnelly","Scott","Donnelly","Caucasian/White",0,0,"M",0,1,1,0,0,0,NA,NA,"CAUCASIAN/WHITE",NA,0,"CEO","Chairman/President/CEO",0,"9/1/10",NA,NA,NA
216,"DISH","DISH NETWORK CORP",60900,"W. Erik Carlson","W.","Carlson","Caucasian/White",0,0,"M",0,1,1,0,0,0,NA,NA,"CAUCASIAN/WHITE",NA,0,"CEO",NA,0,"12/5/17",NA,NA,NA
217,"HRL","HORMEL FOODS CORP",5709,"Jim Snee","Jim","Snee","Caucasian/White",0,0,"M",0,1,1,0,0,0,NA,NA,"CAUCASIAN/WHITE",NA,0,"CEO","Chairman/President/CEO",0,"11/20/17",NA,NA,NA
218,"DRI","DARDEN RESTAURANTS INC",31846,"Gene Lee Jr","Gene","Lee","Caucasian/White",0,0,"M",0,1,1,0,0,0,NA,NA,"CAUCASIAN/WHITE",1,1,"CEO","President/CEO",0,"2/22/15","5/1/22",NA,NA
219,"ABBV","ABBVIE INC",16101,"Rick Gonzalez","Rick","Gonzalez","Hispanic/Latino",0,1,"M",0,1,1,0,0,0,NA,NA,"HISPANIC/LATIN AMERICAN",NA,0,"CEO","Chairman/CEO",0,"1/2/13",NA,NA,NA
220,"ABT","ABBOTT LABORATORIES",1078,"Miles D. White","Miles","White","Caucasian/White",0,0,"M",0,1,1,0,0,1,"3/31/20","outgoing",NA,NA,0,"CEO",NA,0,"6/21/05","3/31/20",1,"James"
220,"ABT","ABBOTT LABORATORIES",1078,"Robert B. Ford","Robert","Ford","Caucasian/White",0,0,"M",0,1,1,0,0,1,"3/31/20","incoming",NA,NA,0,"CEO",NA,0,"3/31/20",NA,NA,NA
221,"BAX","BAXTER INTERNATIONAL INC",2086,"Joe Almeida","Joe","Almeida","Hispanic/Latino",0,1,"M",0,1,1,0,0,0,NA,NA,"HISPANIC/LATIN AMERICAN",NA,0,"CEO","Chairman/President/CEO",0,"1/1/16",NA,NA,NA
222,"CAT","CATERPILLAR INC",2817,"Jim Umpleby III","Jim","Umpleby","Caucasian/White",0,0,"M",0,1,1,0,0,0,NA,NA,"CAUCASIAN/WHITE",NA,0,"CEO","Chairman/CEO",0,"12/12/18",NA,NA,NA
223,"CDW","CDW CORP",28320,"Chris Leahy","Chris","Leahy","Caucasian/White",0,0,"M",0,1,1,0,0,0,NA,NA,"CAUCASIAN/WHITE",NA,0,"CEO","President/CEO",0,"1/1/19","1/5/23",NA,NA
224,"CF","CF INDUSTRIES HOLDINGS INC",163946,"Tony Will","Tony","Will","Caucasian/White",0,0,"M",0,1,1,0,0,0,NA,NA,"CAUCASIAN/WHITE",NA,0,"CEO","President/CEO",0,"1/2/14",NA,NA,NA
225,"DFS","DISCOVER FINANCIAL SVCS",177376,"Roger Hochschild","Roger","Hochschild","Caucasian/White",0,0,"M",0,1,1,0,0,0,NA,NA,"CAUCASIAN/WHITE",NA,0,"CEO","President/CEO",0,"10/1/18","8/14/23",NA,NA
226,"FBHS","FORTUNE BRANDS HOME & SECUR",188255,"Christopher J. Klein","Christopher","Klein","Caucasian/White",0,0,"M",0,1,0,0,0,1,"20-Jan","outgoing","CAUCASIAN/WHITE",NA,0,"CEO",NA,0,"10/11/24","1/6/20",NA,NA
226,"FBHS","FORTUNE BRANDS HOME & SECUR",188255,"Nicholas Fink","Nicholas","Fink","Caucasian/White",0,0,"M",0,1,1,0,0,1,"20-Jan","incoming","CAUCASIAN/WHITE",NA,0,"CEO",NA,0,"1/6/20",NA,NA,NA
227,"GWW","GRAINGER (W W) INC",5256,"DG Macpherson","DG","Macpherson","Caucasian/White",0,0,"M",0,1,1,0,0,0,NA,NA,"CAUCASIAN/WHITE",NA,0,"CEO","Chairman/CEO",0,"10/1/17",NA,NA,NA
228,"PKG","PACKAGING CORP OF AMERICA",128978,"Mark Kowlzan","Mark","Kowlzan","Caucasian/White",0,0,"M",0,1,1,0,0,0,NA,NA,"CAUCASIAN/WHITE",NA,0,"CEO","Chairman/CEO",0,"1/1/16",NA,NA,NA
229,"WBA","WALGREENS BOOTS ALLIANCE INC",11264,"Stefano Pessina","Stefano","Pessina","Caucasian/White",0,0,"M",0,1,1,0,0,0,NA,NA,"CAUCASIAN/WHITE",1,1,"CEO","Executive Vice Chairman/CEO",0,"7/9/15","3/15/21",NA,NA
230,"ZBRA","ZEBRA TECHNOLOGIES CP -CL A",24405,"Anders Gustafsson","Anders","Gustafsson","Caucasian/White",0,0,"M",0,1,1,0,0,0,NA,NA,"CAUCASIAN/WHITE",NA,0,"CEO","CEO",0,"9/4/07","3/1/23",NA,NA
231,"ABC","AMERISOURCEBERGEN CORP",31673,"Steven H. Collis","Steven","Collis","Caucasian/White",0,0,"M",0,1,1,0,0,0,NA,NA,"CAUCASIAN/WHITE",NA,0,"CEO",NA,0,"7/1/11",NA,NA,NA
232,"UHS","UNIVERSAL HEALTH SVCS INC",11032,"Alan Miller","Alan","Miller","Caucasian/White",0,0,"M",0,1,1,0,0,0,NA,NA,"CAUCASIAN/WHITE",NA,0,"CEO","Chairman/CEO",0,"5/20/09","1/1/21",0,"Norman"
233,"ABMD","ABIOMED INC",13619,"Mike Minogue","Mike","Minogue","Caucasian/White",0,0,"M",0,1,1,0,0,0,NA,NA,"CAUCASIAN/WHITE",NA,0,"CEO","Chairman/President/CEO",0,"6/15/05","12/22/22",NA,NA
234,"BKNG","BOOKING HOLDINGS INC",119314,"Glenn Fogel","Glenn","Fogel","Caucasian/White",0,0,"M",0,1,1,0,0,0,NA,NA,"CAUCASIAN/WHITE",NA,0,"CEO","President/CEO/Division CEO",0,"6/26/19",NA,NA,NA
235,"CHTR","CHARTER COMMUNICATIONS INC",126136,"Tom Rutledge","Tom","Rutledge","Caucasian/White",0,0,"M",0,1,1,0,0,0,NA,NA,"CAUCASIAN/WHITE",NA,0,"CEO","Chairman/CEO",0,"7/26/16","11/30/22",NA,NA
236,"IT","GARTNER INC",12441,"Gene Hall","Gene","Hall","Caucasian/White",0,0,"M",0,1,1,0,0,0,NA,NA,"CAUCASIAN/WHITE",NA,0,"CEO","CEO",0,"8/3/04",NA,1,"John"
237,"PBCT","PEOPLE'S UNITED FINL INC",16245,"Jack Barnes","Jack","Barnes","Caucasian/White",0,0,"M",0,1,1,0,0,0,NA,NA,"CAUCASIAN/WHITE",NA,0,"CEO","Chairman/CEO",0,"6/26/18","4/4/22",NA,NA
238,"SYF","SYNCHRONY FINANCIAL",20686,"Margaret Keane","Margaret","Keane","Caucasian/White",0,0,"F",1,1,1,0,0,0,NA,NA,"CAUCASIAN/WHITE",NA,0,"CEO","CEO",0,"5/2/19","4/1/21",NA,NA
239,"URI","UNITED RENTALS INC",66065,"Matt Flannery","Matt","Flannery","Caucasian/White",0,0,"M",0,1,1,0,0,0,NA,NA,"CAUCASIAN/WHITE",1,1,"CEO","President/CEO",0,"5/8/19",NA,NA,NA
240,"WRB","BERKLEY (W R) CORP",14822,"William R. Berkley","William","Berkley","Caucasian/White",0,0,"M",0,1,0,0,0,1,"20-Jan","outgoing","CAUCASIAN/WHITE",NA,0,"CEO",NA,0,"5/20/05","10/31/15",NA,NA
240,"WRB","BERKLEY (W R) CORP",14822,"W. Robert Berkley Jr.","Robert","Berkley","Caucasian/White",0,0,"M",0,1,1,0,0,1,"20-Jan","incoming","CAUCASIAN/WHITE",NA,0,"CEO",NA,0,"10/31/15",NA,NA,NA
241,"XRX","XEROX HOLDINGS CORP",11636,"John Visentin","John","Visentin","Caucasian/White",0,0,"M",0,1,1,0,0,0,NA,NA,"CAUCASIAN/WHITE",1,1,"CEO","Vice Chairman/CEO",0,"5/14/18","6/28/22",NA,NA
242,"CI","CIGNA CORP",2547,"David Cordani","David","Cordani","Caucasian/White",0,0,"M",0,1,1,0,0,0,NA,NA,"CAUCASIAN/WHITE",1,1,"CEO","President/CEO",0,"12/25/09","1/1/22",NA,NA
243,"HIG","HARTFORD FINANCIAL SERVICES",61739,"Chris Swift","Chris","Swift","Caucasian/White",0,0,"M",0,1,1,0,0,0,NA,NA,"CAUCASIAN/WHITE",NA,0,"CEO","Chairman/CEO",0,"1/5/15",NA,NA,NA
244,"OTIS","OTIS WORLDWIDE CORP",36190,"Judy Marks","Judy","Marks","Caucasian/White",0,0,"F",1,1,1,0,0,0,NA,NA,"CAUCASIAN/WHITE",NA,0,"CEO",NA,0,"4/3/20",NA,NA,NA
245,"SWK","STANLEY BLACK & DECKER INC",10016,"Jim Loree","Jim","Loree","Caucasian/White",0,0,"M",0,1,1,0,0,0,NA,NA,"CAUCASIAN/WHITE",NA,0,"CEO","President/CEO",0,"8/1/16","2/23/21",NA,NA
246,"CTVA","CORTEVA INC",35168,"Jim Collins Jr","Jim","Collins","Caucasian/White",0,0,"M",0,1,1,0,0,0,NA,NA,"CAUCASIAN/WHITE",NA,0,"CEO","CEO",0,"6/3/19","11/1/21",NA,NA
247,"DRE","DUKE REALTY CORP",13510,"Jim Connor","Jim","Connor","Caucasian/White",0,0,"M",0,1,1,0,0,0,NA,NA,"CAUCASIAN/WHITE",NA,0,"CEO","Chairman/CEO",0,"4/26/17","10/3/22",NA,NA
248,"ELV","ELEVANCE HEALTH INC",145046,"Gail Boudreaux","Gail","Boudreaux","Caucasian/White",0,0,"F",1,1,1,0,0,0,NA,NA,"CAUCASIAN/WHITE",NA,0,"CEO","President/CEO",0,"11/20/17",NA,NA,NA
249,"LLY","LILLY (ELI) & CO",6730,"David Ricks","David","Ricks","Caucasian/White",0,0,"M",0,1,1,0,0,0,NA,NA,"CAUCASIAN/WHITE",1,1,"CEO","Chair/President/CEO",1,"6/1/17",NA,NA,NA
250,"SPG","SIMON PROPERTY GROUP INC",29389,"David Simon","David","Simon","Caucasian/White",0,0,"M",0,1,1,0,0,0,NA,NA,"CAUCASIAN/WHITE",NA,0,"CEO","Chairman/President/CEO",0,"2/15/19",NA,NA,NA
251,"AZO","AUTOZONE INC",23809,"Bill Rhodes III","Bill","Rhodes","Caucasian/White",0,0,"M",0,1,1,0,0,0,NA,NA,"CAUCASIAN/WHITE",NA,0,"CEO","Chairman/President/CEO",0,"6/6/07","1/2/24",NA,NA
252,"FDX","FEDEX CORP",4598,"Fred Smith","Fred","Smith","Caucasian/White",0,0,"M",0,1,1,0,0,0,NA,NA,"CAUCASIAN/WHITE",NA,0,"CEO","Chairman/CEO",0,"2/1/17","5/31/22",NA,NA
253,"IP","INTL PAPER CO",6104,"Mark Sutton","Mark","Sutton","Caucasian/White",0,0,"M",0,1,1,0,0,0,NA,NA,"CAUCASIAN/WHITE",NA,0,"CEO","Chairman/CEO",0,"1/1/15",NA,NA,NA
254,"MAA","MID-AMERICA APT CMNTYS INC",29649,"H Bolton Jr","H","Bolton","Caucasian/White",0,0,"M",0,1,1,0,0,0,NA,NA,"CAUCASIAN/WHITE",NA,0,"CEO","Chairman/President/CEO",0,"10/1/02",NA,NA,NA
255,"DG","DOLLAR GENERAL CORP",4016,"Todd Vasos","Todd","Vasos","Caucasian/White",0,0,"M",0,1,1,0,0,0,NA,NA,"CAUCASIAN/WHITE",NA,0,"CEO","CEO",0,"6/3/15","11/1/22",NA,NA
256,"HCA","HCA HEALTHCARE INC",22260,"Sam Hazen","Sam","Hazen","Caucasian/White",0,0,"M",0,1,1,0,0,0,NA,NA,"CAUCASIAN/WHITE",NA,0,"CEO","CEO",0,"1/1/19",NA,NA,NA
257,"CTXS","CITRIX SYSTEMS INC",61676,"David J. Henshall","David","Henshall","Caucasian/White",0,0,"M",0,1,1,0,0,0,NA,NA,"CAUCASIAN/WHITE",NA,0,"CEO",NA,0,"7/17/24","10/21/24",NA,NA
258,"KMX","CARMAX INC",64410,"Bill Nash","Bill","Nash","Caucasian/White",0,0,"M",0,1,1,0,0,0,NA,NA,"CAUCASIAN/WHITE",NA,0,"CEO","President/CEO",0,"9/1/16",NA,NA,NA
259,"AEP","AMERICAN ELECTRIC POWER CO",1440,"Nick Akins","Nick","Akins","Caucasian/White",0,0,"M",0,1,1,0,0,0,NA,NA,"CAUCASIAN/WHITE",NA,0,"CEO","Chairman/President/CEO",0,"1/1/14","8/10/22",NA,NA
260,"BBWI","BATH & BODY WORKS INC",6733,"Andrew Meslow","Andrew","Meslow","Caucasian/White",0,0,"M",0,1,1,1,0,1,"5/14/20","incoming",NA,NA,0,"CEO","CEO",0,"5/14/20",NA,NA,NA
260,"BBWI","BATH & BODY WORKS INC",6733,"Leslie Wexner","Leslie","Wexner","Caucasian/White",0,0,"M",0,0,0,1,0,1,"5/14/20","outgoing","CAUCASIAN/WHITE",NA,0,"CEO","Chairman/CEO",0,"1/1/02","5/14/20",NA,NA
261,"CAH","CARDINAL HEALTH INC",2751,"Mike Kaufmann","Mike","Kaufmann","Caucasian/White",0,0,"M",0,1,1,0,0,0,NA,NA,"CAUCASIAN/WHITE",NA,0,"CEO","CEO",0,"9/1/19","9/1/22",NA,NA
262,"HBAN","HUNTINGTON BANCSHARES",5786,"Steve Steinour","Steve","Steinour","Caucasian/White",0,0,"M",0,1,1,0,0,0,NA,NA,"CAUCASIAN/WHITE",NA,0,"CEO","Chairman/President/CEO",0,"1/14/09",NA,NA,NA
263,"ATO","ATMOS ENERGY CORP",4383,"John Akers","John","Akers","Caucasian/White",0,0,"M",0,1,1,0,0,0,NA,NA,"CAUCASIAN/WHITE",NA,0,"CEO","President/CEO",0,"10/1/19",NA,NA,NA
264,"CBRE","CBRE GROUP INC",260774,"Bob Sulentic","Bob","Sulentic","Caucasian/White",0,0,"M",0,1,1,0,0,0,NA,NA,"CAUCASIAN/WHITE",NA,0,"CEO","President/CEO",0,"12/1/12","11/17/23",NA,NA
265,"CE","CELANESE CORP",162254,"Lori J. Ryerkerk","Lori","Ryerkerk","Caucasian/White",0,0,"F",1,1,1,0,0,0,NA,NA,"CAUCASIAN/WHITE",NA,0,"CEO",NA,0,"5/1/19",NA,NA,NA
266,"CMA","COMERICA INC",3231,"Curtis C. Farmer","Curtis","Farmer","Caucasian/White",0,0,"M",0,1,1,0,0,0,NA,NA,"CAUCASIAN/WHITE",NA,0,"CEO",NA,0,"4/19/24",NA,NA,NA
267,"CPRT","COPART INC",29901,"Jay Adair","Jay","Adair","Caucasian/White",0,0,"M",0,1,1,0,0,0,NA,NA,"CAUCASIAN/WHITE",NA,0,"CEO","CEO",0,"2/12/10","4/1/22",NA,NA
268,"FLS","FLOWSERVE CORP",4108,"Robert Rowe","Robert","Rowe","Caucasian/White",0,0,"M",0,1,1,0,0,0,NA,NA,"CAUCASIAN/WHITE",NA,0,"CEO","President/CEO",0,"4/1/17",NA,NA,NA
269,"INVH","INVITATION HOMES INC",30004,"Dallas Tanner","Dallas","Tanner","Caucasian/White",0,0,"M",0,1,1,0,0,0,NA,NA,"CAUCASIAN/WHITE",NA,0,"CEO","President/CEO",0,"1/16/19","3/1/23",NA,NA
270,"J","JACOBS ENGINEERING GROUP INC",6216,"Steve Demetriou","Steve","Demetriou","Caucasian/White",0,0,"M",0,1,1,0,0,0,NA,NA,"CAUCASIAN/WHITE",NA,0,"CEO","Chairman/CEO",0,"7/28/16","1/24/23",NA,NA
271,"KMB","KIMBERLY-CLARK CORP",6435,"Michael D. Hsu","Michael","Hsu","Asian/Taiwanese",0,1,"M",0,1,1,0,0,0,NA,NA,"ASIAN (EXCLUDE INDIAN/SOUTH ASIAN)",NA,0,"CEO",NA,0,"1/1/19",NA,NA,NA
272,"LUV","SOUTHWEST AIRLINES",9882,"Gary Kelly","Gary","Kelly","Caucasian/White",0,0,"M",0,1,1,0,0,0,NA,NA,"CAUCASIAN/WHITE",NA,0,"CEO","Chairman/CEO",0,"1/10/17","2/1/22",1,"Eric"
273,"MCK","MCKESSON CORP",7171,"Doctor Brian Tyler","Doctor","Tyler","Caucasian/White",0,0,"M",0,1,1,0,0,0,NA,NA,"CAUCASIAN/WHITE",NA,0,"CEO","CEO",0,"4/1/19",NA,NA,NA
274,"MTCH","MATCH GROUP INC",26061,"Joey Levin","Joey","Levin","Caucasian/White",0,0,"M",0,1,1,0,0,0,NA,NA,"INDIAN/SOUTH ASIAN",NA,0,"CEO","CEO",0,"6/24/15","6/30/20",NA,NA
275,"PXD","PIONEER NATURAL RESOURCES CO",14359,"Scott Sheffield","Scott","Sheffield","Caucasian/White",0,0,"M",0,1,1,0,0,0,NA,NA,"CAUCASIAN/WHITE",NA,0,"CEO","President/CEO",0,"2/21/19","1/1/21",NA,NA
276,"T","AT&T INC",9899,"John Stankey","John","Stankey","Caucasian/White",0,0,"M",0,1,1,0,0,1,"7/1/20","incoming","CAUCASIAN/WHITE",1,1,"CEO","Chairman/CEO",0,"7/1/20",NA,NA,NA
276,"T","AT&T INC",9899,"Randall Stephenson Jr","Randall","Stephenson","Caucasian/White",0,0,"M",0,1,1,0,0,1,"6/30/20","outgoing","CAUCASIAN/WHITE",1,1,"CEO","Chairman/CEO",0,"1/1/07","6/30/20",NA,NA
277,"TXN","TEXAS INSTRUMENTS INC",10499,"Rich Templeton","Rich","Templeton","Caucasian/White",0,0,"M",0,1,1,0,0,0,NA,NA,"CAUCASIAN/WHITE",NA,0,"CEO","Chairman/President/CEO",0,"7/17/18","4/1/23",NA,NA
278,"XOM","EXXON MOBIL CORP",4503,"Darren Woods","Darren","Woods","Caucasian/White",0,0,"M",0,1,1,0,0,0,NA,NA,"CAUCASIAN/WHITE",NA,0,"CEO","Chairman/CEO",0,"1/1/17",NA,NA,NA
279,"NKE","NIKE INC -CL B",7906,"John Donahoe","John","Donahoe","Caucasian/White",0,0,"M",0,1,1,0,0,0,NA,NA,"CAUCASIAN/WHITE",NA,0,"CEO",NA,0,"1/13/20",NA,NA,NA
280,"IDXX","IDEXX LABS INC",24197,"Jonathan Mazelsky","Jonathan","Mazelsky","Caucasian/White",0,0,"M",0,1,1,0,0,0,NA,NA,"CAUCASIAN/WHITE",NA,0,"CEO","President/CEO",0,"10/23/19",NA,NA,NA
281,"AWK","AMERICAN WATER WORKS CO INC",179437,"Susan N. Story","Susan","Story","Caucasian/White",0,0,"F",1,1,1,0,0,1,"20-Apr","outgoing","CAUCASIAN/WHITE",NA,0,"CEO",NA,0,"5/1/14","4/1/20",NA,NA
281,"AWK","AMERICAN WATER WORKS CO INC",179437,"Walter J. Lynch","Walter","Lynch","Caucasian/White",0,0,"M",0,1,1,0,0,1,"20-Apr","incoming","CAUCASIAN/WHITE",NA,0,"CEO",NA,0,"4/1/20",NA,NA,NA
282,"CPB","CAMPBELL SOUP CO",2663,"Mark Clouse","Mark","Clouse","Caucasian/White",0,0,"M",0,1,1,0,0,0,NA,NA,"CAUCASIAN/WHITE",NA,0,"CEO","President/CEO",0,"1/22/19",NA,NA,NA
283,"KEY","KEYCORP",9783,"Beth Mooney","Beth","Mooney","Caucasian/White",0,0,"F",1,1,0,0,0,0,NA,NA,"CAUCASIAN/WHITE",1,1,"CEO","Chairman/President/CEO",0,"5/1/11","5/1/20",NA,NA
284,"PGR","PROGRESSIVE CORP-OHIO",13341,"Tricia Griffith","Tricia","Griffith","Caucasian/White",0,0,"F",1,1,1,0,0,0,NA,NA,"CAUCASIAN/WHITE",NA,0,"CEO","President/CEO",0,"7/1/16",NA,NA,NA
285,"PH","PARKER-HANNIFIN CORP",8358,"Tom Williams","Tom","Williams","Caucasian/White",0,0,"M",0,1,1,0,0,0,NA,NA,"CAUCASIAN/WHITE",NA,0,"CEO","Chairman/CEO",0,"1/1/16","1/1/23",1,"Ronald"
286,"SHW","SHERWIN-WILLIAMS CO",9667,"John Morikis","John","Morikis","Caucasian/White",0,0,"M",0,1,1,0,0,0,NA,NA,"CAUCASIAN/WHITE",NA,0,"CEO","Chairman/CEO",0,"3/1/19","3/12/21",NA,NA
287,"TDG","TRANSDIGM GROUP INC",148349,"Doctor Kevin Stein","Doctor","Stein","Caucasian/White",0,0,"M",0,1,1,0,0,0,NA,NA,"CAUCASIAN/WHITE",NA,0,"CEO","President/CEO",0,"4/26/18",NA,NA,NA
288,"MRK","MERCK & CO",7257,"Kenneth Frazier","Kenneth","Frazier","African American/Black",1,1,"F",1,1,1,0,0,0,NA,NA,"BLACK/AFRICAN AMERICAN",1,0,"CEO","Chairman/President/CEO",0,"12/1/11","4/1/21",1,"Kenneth"
289,"IBM","INTL BUSINESS MACHINES CORP",6066,"Arvind Krishna","Arvind","Krishna","Asian/Indian",0,1,"M",0,1,1,0,0,0,NA,NA,"INDIAN/SOUTH ASIAN",NA,0,"CEO",NA,0,"4/6/20",NA,NA,NA
290,"MA","MASTERCARD INC",160225,"Ajay Banga","Ajay","Banga","Asian/Indian",0,1,"M",0,1,1,0,0,0,NA,NA,"INDIAN/SOUTH ASIAN",NA,0,"CEO",NA,0,"7/1/10","12/31/20",NA,NA
291,"PEP","PEPSICO INC",8479,"Ramon Laguarta","Ramon","Laguarta","Hispanic/Latino",0,1,"M",0,1,1,0,0,0,NA,NA,"HISPANIC/LATIN AMERICAN",NA,0,"CEO","Chairman/President/CEO",0,"2/1/19",NA,NA,NA
292,"REGN","REGENERON PHARMACEUTICALS",23812,"Doctor Len Schleifer","Doctor","Schleifer","Caucasian/White",0,0,"M",0,1,1,0,0,0,NA,NA,"CAUCASIAN/WHITE",NA,0,"CEO","President/CEO",0,"1/1/94","6/9/23",NA,NA
293,"XYL","XYLEM INC",189491,"Patrick Decker","Patrick","Decker","Caucasian/White",0,0,"M",0,1,1,0,0,0,NA,NA,"CAUCASIAN/WHITE",NA,0,"CEO","President/CEO",0,"3/17/14","12/31/23",NA,NA
294,"DD","DUPONT DE NEMOURS INC",4060,"Edward D. Breen","Edward","Breen","Caucasian/White",0,0,"M",0,1,1,0,0,0,NA,NA,"CAUCASIAN/WHITE",NA,0,"CEO",NA,0,"2/20/24",NA,NA,NA
295,"INCY","INCYTE CORP",29127,"Herve Hoppenot","Herve","Hoppenot","Caucasian/White",0,0,"M",0,1,1,0,0,0,NA,NA,"PREFER NOT TO DISCLOSE",NA,0,"CEO","Chairman/President/CEO",0,"5/22/15","6/5/23",NA,NA
296,"DTE","DTE ENERGY CO",3897,"Jerry Norcia","Jerry","Norcia","Caucasian/White",0,0,"M",0,1,1,0,0,0,NA,NA,"CAUCASIAN/WHITE",NA,0,"CEO","President/CEO",0,"7/1/19","5/5/22",NA,NA
297,"F","FORD MOTOR CO",4839,"Jim Hackett","Jim","Hackett","Caucasian/White",0,0,"M",0,1,1,0,0,1,"10/1/20","outgoing","CAUCASIAN/WHITE",NA,0,"CEO","President/CEO",0,"5/22/17","10/1/20",NA,NA
297,"F","FORD MOTOR CO",4839,"James D. Farley Jr.","James","Farley","Caucasian/White",0,0,"M",0,1,1,1,0,1,"10/1/20","incoming","CAUCASIAN/WHITE",NA,0,"CEO",NA,0,"10/1/20",NA,NA,NA
298,"GM","GENERAL MOTORS CO",5073,"Mary Barra","Mary","Barra","Caucasian/White",0,0,"F",1,1,1,0,0,0,NA,NA,"CAUCASIAN/WHITE",1,1,"CEO","Chair/CEO",0,"1/4/16",NA,NA,NA
