obs,tic,gvkey,conm_x,CrossVerified_ExecType,DirectorName,Ethnicity,Race(black),BE_fromBermissData,Actual_Bermiss_discrepancy,Minority,Gender,Female,Num_Black_TMT,Active2020,CEO_Appointment_date_within_2020,DirectorName_source
67,CHRW,65609,C H ROBINSON WORLDWIDE INC,CEO,Bob Biesterfeld Jr,Caucasian/White,0,,0,0,M,0,0,Yes,,BoardEx
68,CMI,,C-COM SATELLITE SYSTEMS INC,CEO,Doctor Leslie Klein,Caucasian/White,0,,0,0,M,0,0,Yes,,BoardEx
69,CDNS,13421,CADENCE DESIGN SYSTEMS INC,CEO,Lip-Bu Tan,Asian,0,,0,1,M,0,0,Yes,,BoardEx
70,CPB,2663,CAMPBELL SOUP CO,CEO,Mark Clouse,Caucasian/White,0,,0,0,M,0,0,Yes,,BoardEx
71,CF,????,CANACCORD GENUITY GROUP INC (Canaccord Financial Inc prior to 10/2013),CEO,Dan Daviau,Caucasian/White,0,,0,0,M,0,0,Yes,,BoardEx
72,BK,,CANADIAN BANC CORP,CEO,Stephen Finch,Caucasian/White,0,,0,0,M,0,0,Yes,,BoardEx
73,COF,30990,CAPITAL ONE FINANCIAL CORP,CEO,Rich Fairbank,Caucasian/White,0,,0,0,M,0,0,Yes,,BoardEx
74,CAH,2751,CARDINAL HEALTH INC,CEO,Mike Kaufmann,Caucasian/White,0,,0,0,M,0,0,Yes,,BoardEx
75,KMX,64410,CARMAX INC,CEO,Bill Nash,Caucasian/White,0,,0,0,M,0,0,Yes,,BoardEx
76,CCL,13498,CARNIVAL CORPORATION & PLC,CEO,Arnold Donald,African American/Black,1,1,0,1,M,0,1,Yes,,Bermiss
77,CTLT,20228,CATALENT INC,CEO,John Chiminski,Caucasian/White,0,,0,0,M,0,0,Yes,,BoardEx
78,CAT,2817,CATERPILLAR INC,CEO,Jim Umpleby III,Caucasian/White,0,,0,0,M,0,0,Yes,,BoardEx
79,CBOE,184500,CBOE GLOBAL MARKETS INC,CEO,Ed Tilly,Caucasian/White,0,,0,0,M,0,0,Yes,,BoardEx
80,CBRE,260774,CBRE GROUP INC,CEO,Bob Sulentic,Caucasian/White,0,,0,0,M,0,0,Yes,,BoardEx
81,PARA,13714,CBS Television Distribution,CEO,Roger King,Caucasian/White,0,0,0,0,M,0,0,Yes,,Bermiss
82,CDW,28320,CDW CORP,CEO,Chris Leahy,Caucasian/White,0,,0,0,M,0,0,Yes,,BoardEx
83,CNC,145552,CENTENE CORP,CEO,Michael Neidorff,Caucasian/White,0,,0,0,M,0,0,Yes,,BoardEx
84,CERN,12850,CERNER CORP,CEO,D Shafer,Caucasian/White,0,,0,0,M,0,0,Yes,,BoardEx
85,CF,163946,CF INDUSTRIES HOLDINGS INC,CEO,Tony Will,Caucasian/White,0,,0,0,M,0,0,Yes,,BoardEx
86,CHTR,126136,CHARTER COMMUNICATIONS INC,CEO,Tom Rutledge,Caucasian/White,0,,0,0,M,0,0,Yes,,BoardEx
87,CVX,2991,CHEVRON CORP,CEO,Mike Wirth,Caucasian/White,0,,0,0,M,0,0,Yes,,BoardEx
88,CMG,165914,CHIPOTLE MEXICAN GRILL INC,CEO,Ryan Schneider,Caucasian/White,0,,0,0,M,0,0,Yes,,BoardEx
89,CHD,3026,CHURCH & DWIGHT INC,CEO,Matthew Farrell,Caucasian/White,0,,0,0,M,0,0,Yes,,BoardEx
90,CI,2547,CIGNA CORP,CEO,David Cordani,Caucasian/White,0,1,1,0,M,0,2,Yes,,BoardEx
