obs,coid,tic,conm_x,gvkey,ceo_name,ceo_race(black)_manual check,ceo_ethnicity_manual check,,ceo_minority,ceo_gender,ceo_female,ceo_active_2020_may26_dec31,firm_multiple_ceos_may26_dec31,firm_coceo_2020,firm_ceo_change_2020_may26_dec31,firm_ceo_change_date_2020,ceo_in_or_out_2020,DateStartRole_boardex,DateEndRole_boardex,Actual_Bermiss_discrepancy,RoleName_boardex,Interim_boardex,ethnicity_boardex (for comparison with ceo_ethnicity column)
276,276,T,AT&T INC,9899,"Randall Stephenson Jr, John Stankey",0,Caucasian/White,,0,M,0,1,1,0,1,7/1/20,incoming,7/1/20,,1,Chairman/CEO,0,CAUCASIAN/WHITE
277,277,TXN,TEXAS INSTRUMENTS INC,10499,Rich Templeton,0,Caucasian/White,,0,M,0,1,0,0,0,,,7/17/18,4/1/23,0,Chairman/President/CEO,0,CAUCASIAN/WHITE
278,278,XOM,EXXON MOBIL CORP,4503,Darren Woods,0,Caucasian/White,,0,M,0,1,0,0,0,,,1/1/17,,0,Chairman/CEO,0,CAUCASIAN/WHITE
279,279,NKE,NIKE INC -CL B,7906,John Donahoe,0,Caucasian/White,,0,M,0,1,0,0,0,,,1/13/20,,0,,0,CAUCASIAN/WHITE
280,280,IDXX,IDEXX LABS INC,24197,Jonathan Mazelsky,0,Caucasian/White,,0,M,0,1,0,0,0,,,10/23/19,,0,President/CEO,0,CAUCASIAN/WHITE
281,281,AWK,AMERICAN WATER WORKS CO INC,179437,Walter J. Lynch,0,Caucasian/White,,0,M,0,1,0,0,1,4/1/20,incoming,4/1/20,,0,,0,CAUCASIAN/WHITE
282,282,CPB,CAMPBELL SOUP CO,2663,Mark Clouse,0,Caucasian/White,,0,M,0,1,0,0,0,,,1/22/19,,0,President/CEO,0,CAUCASIAN/WHITE
283,283,KEY,KEYCORP,9783,Beth Mooney,0,Caucasian/White,,0,F,1,0,0,0,0,,,5/1/11,5/1/20,1,Chairman/President/CEO,0,CAUCASIAN/WHITE
284,284,PGR,PROGRESSIVE CORP-OHIO,13341,Tricia Griffith,0,Caucasian/White,,0,F,1,1,0,0,0,,,7/1/16,,0,President/CEO,0,CAUCASIAN/WHITE
285,285,PH,PARKER-HANNIFIN CORP,8358,Tom Williams,0,Caucasian/White,,0,M,0,1,0,0,0,,,1/1/16,1/1/23,0,Chairman/CEO,0,CAUCASIAN/WHITE
286,286,SHW,SHERWIN-WILLIAMS CO,9667,John Morikis,0,Caucasian/White,,0,M,0,1,0,0,0,,,3/1/19,3/12/21,0,Chairman/CEO,0,CAUCASIAN/WHITE
287,287,TDG,TRANSDIGM GROUP INC,148349,Doctor Kevin Stein,0,Caucasian/White,,0,M,0,1,0,0,0,,,4/26/18,,0,President/CEO,0,CAUCASIAN/WHITE
288,288,MRK,MERCK & CO,7257,Kenneth Frazier,1,African American/Black,,1,F,1,1,0,0,0,,,12/1/11,4/1/21,0,Chairman/President/CEO,0,BLACK/AFRICAN AMERICAN
289,289,IBM,INTL BUSINESS MACHINES CORP,6066,Arvind Krishna,0,Asian/Indian,,1,M,0,1,0,0,0,,,4/6/20,,0,,0,INDIAN/SOUTH ASIAN
290,290,MA,MASTERCARD INC,160225,Ajay Banga,0,Asian/Indian,,1,M,0,1,0,0,0,,,7/1/10,12/31/20,0,,0,INDIAN/SOUTH ASIAN
291,291,PEP,PEPSICO INC,8479,Ramon Laguarta,0,Hispanic/Latino,,1,M,0,1,0,0,0,,,2/1/19,,0,Chairman/President/CEO,0,HISPANIC/LATIN AMERICAN
292,292,REGN,REGENERON PHARMACEUTICALS,23812,Doctor Len Schleifer,0,Caucasian/White,,0,M,0,1,0,0,0,,,1/1/94,6/9/23,0,President/CEO,0,CAUCASIAN/WHITE
293,293,XYL,XYLEM INC,189491,Patrick Decker,0,Caucasian/White,,0,M,0,1,0,0,0,,,3/17/14,12/31/23,0,President/CEO,0,CAUCASIAN/WHITE
294,294,DD,DUPONT DE NEMOURS INC,4060,Edward D. Breen,0,Caucasian/White,,0,M,0,1,0,0,0,,,2/20/24,,0,,0,CAUCASIAN/WHITE
295,295,INCY,INCYTE CORP,29127,Herve Hoppenot,0,Caucasian/White,,0,M,0,1,0,0,0,,,5/22/15,6/5/23,0,Chairman/President/CEO,0,PREFER NOT TO DISCLOSE
296,296,DTE,DTE ENERGY CO,3897,Jerry Norcia,0,Caucasian/White,,0,M,0,1,0,0,0,,,7/1/19,5/5/22,0,President/CEO,0,CAUCASIAN/WHITE
297,297,F,FORD MOTOR CO,4839,James D. Farley Jr.,0,Caucasian/White,,0,M,0,1,1,0,1,10/1/20,incoming,10/1/20,,0,,0,CAUCASIAN/WHITE
298,298,GM,GENERAL MOTORS CO,5073,Mary Barra,0,Caucasian/White,,0,F,1,1,0,0,0,,,1/4/16,,1,Chair/CEO,0,CAUCASIAN/WHITE
299,299,MAS,MASCO CORP,7085,Keith Allman,0,Caucasian/White,,0,M,0,1,0,0,0,,,2/14/14,,0,President/CEO,0,CAUCASIAN/WHITE
300,300,AOS,SMITH (A.O.),9771,Kevin Wheeler,0,Caucasian/White,,0,M,0,0,0,0,0,,,9/1/18,5/1/20,0,President/CEO,0,CAUCASIAN/WHITE
301,301,ROK,ROCKWELL AUTOMATION,9203,Blake Moret,0,Caucasian/White,,0,M,0,1,0,0,0,,,1/1/18,,0,Chairman/President/CEO,0,CAUCASIAN/WHITE
302,302,WEC,WEC ENERGY GROUP INC,11550,Kevin Fletcher,0,Caucasian/White,,0,M,0,1,0,0,0,,,2/1/19,2/1/22,0,President/CEO,0,CAUCASIAN/WHITE
303,303,CHD,CHURCH & DWIGHT INC,3026,Matthew Farrell,0,Caucasian/White,,0,M,0,1,0,0,0,,,5/2/19,,0,Chairman/President/CEO,0,CAUCASIAN/WHITE
304,304,AMP,AMERIPRISE FINANCIAL INC,164708,Jim Cracchiolo,0,Caucasian/White,,0,M,0,1,0,0,0,,,9/30/05,,0,Chairman/CEO,0,CAUCASIAN/WHITE
305,305,BBY,BEST BUY CO INC,2184,Corie Barry,0,Caucasian/White,,0,F,1,1,0,0,0,,,6/11/19,,0,CEO,0,CAUCASIAN/WHITE
306,306,CHRW,C H ROBINSON WORLDWIDE INC,65609,Bob Biesterfeld Jr,0,Caucasian/White,,0,M,0,1,0,0,0,,,5/9/19,12/31/22,0,President/CEO,0,CAUCASIAN/WHITE
307,307,GIS,GENERAL MILLS INC,5071,Jeffrey Harmening,0,Caucasian/White,,0,M,0,1,0,0,0,,,1/1/18,,0,Chairman/CEO,0,CAUCASIAN/WHITE
308,308,TGT,TARGET CORP,3813,Brian Cornell,0,Caucasian/White,,0,M,0,1,0,0,0,,,8/12/14,,1,Chair/CEO,0,CAUCASIAN/WHITE
309,309,UNH,UNITEDHEALTH GROUP INC,10903,Dave Wichmann,0,Caucasian/White,,0,M,0,1,0,0,0,,,9/1/17,2/4/21,1,CEO,0,CAUCASIAN/WHITE
310,310,USB,US BANCORP,4723,Andy Cecere,0,Caucasian/White,,0,M,0,1,0,0,0,,,4/17/18,,0,Chairman/President/CEO,0,CAUCASIAN/WHITE
311,311,XEL,XCEL ENERGY INC,7977,Benjamin G.S. Fowke III,0,Caucasian/White,,0,M,0,1,0,0,0,,,8/24/11,8/18/21,0,,0,CAUCASIAN/WHITE
312,312,ADI,ANALOG DEVICES INC,1632,Vincent Roche,0,Caucasian/White,,0,M,0,1,0,0,0,,,5/6/13,3/9/22,0,President/CEO,0,CAUCASIAN/WHITE
313,313,AKAM,AKAMAI TECHNOLOGIES INC,125595,Doctor Tom Leighton,0,Caucasian/White,,0,M,0,1,0,0,0,,,1/1/13,,0,CEO,0,CAUCASIAN/WHITE
314,314,BIIB,BIOGEN INC,24468,Michel Vounatsos,0,Caucasian/White,,0,M,0,1,0,0,0,,,1/6/17,11/14/22,0,CEO,0,CAUCASIAN/WHITE
315,315,BSX,BOSTON SCIENTIFIC CORP,25279,Mike Mahoney,0,Caucasian/White,,0,M,0,1,0,0,0,,,5/3/16,,0,Chairman/President/CEO,0,CAUCASIAN/WHITE
316,316,HOLX,HOLOGIC INC,20904,Steve MacMillan,0,Caucasian/White,,0,M,0,1,0,0,0,,,6/16/15,,0,Chairman/President/CEO,0,CAUCASIAN/WHITE
317,317,KDP,KEURIG DR PEPPER INC,28877,Bob Gamgort Jr,0,Caucasian/White,,0,M,0,1,0,0,0,,,1/13/19,7/29/22,0,Chairman/President/CEO,0,CAUCASIAN/WHITE
318,318,MRNA,MODERNA INC,34410,Stephane Bancel,0,Caucasian/White,,0,M,0,1,0,0,0,,,12/7/18,,0,CEO,0,CAUCASIAN/WHITE
319,319,PKI,PERKINELMER INC,4145,Prahlad Singh,0,Asian/Indian,,1,M,0,1,0,0,0,,,12/1/19,,0,President/CEO,0,INDIAN/SOUTH ASIAN
320,320,PODD,INSULET CORP,177227,Shacey Petrovic,0,Caucasian/White,,0,F,1,1,0,0,0,,,1/1/19,6/1/22,0,President/CEO,0,CAUCASIAN/WHITE
321,321,RTN,RAYTHEON CO,8972,Gregory J. Hayes,0,Caucasian/White,,0,M,0,1,0,0,0,4/1/20,incoming,4/1/20,,1,,0,CAUCASIAN/WHITE
322,322,RTX,RAYTHEON TECHNOLOGIES CORP,10983,Gregory J. Hayes,0,Caucasian/White,,0,M,0,1,0,0,0,,,4/3/20,,0,,0,CAUCASIAN/WHITE
323,323,TER,TERADYNE INC,10453,Mark Jagiela,0,Caucasian/White,,0,M,0,1,0,0,0,,,2/1/14,7/1/22,0,President/CEO,0,CAUCASIAN/WHITE
324,324,TJX,TJX COS INC (THE),11672,Ernie Herrman,0,Caucasian/White,,0,M,0,1,0,0,0,,,1/31/16,,0,President/CEO,0,CAUCASIAN/WHITE
325,325,TMO,THERMO FISHER SCIENTIFIC INC,10530,Marc N. Casper,0,Caucasian/White,,0,M,0,1,0,0,0,,,10/1/09,,0,,0,CAUCASIAN/WHITE
327,326,ATVI,ACTIVISION BLIZZARD INC,180405,Bobby Kotick,0,Caucasian/White,,0,M,0,1,0,0,0,,,6/26/17,10/13/23,0,CEO,0,CAUCASIAN/WHITE
328,327,ARE,ALEXANDRIA R E EQUITIES INC,64821,"Peter Moglia, Stephen Richardson",0,Caucasian/White,,0,M,0,1,1,1,0,0,0,4/1/18,,0,CIO/Co-CEO,0,CAUCASIAN/WHITE
329,328,AVY,AVERY DENNISON CORP,1913,Mitch Butier,0,Caucasian/White,,0,M,0,1,0,0,0,,,4/25/19,2/28/22,0,Chairman/President/CEO,0,CAUCASIAN/WHITE
330,329,DIS,DISNEY (WALT) CO,3980,Bob Chapek,0,Caucasian/White,,0,M,0,1,0,0,1,2/25/20,incoming,2/25/20,12/21/24,0,,0,CAUCASIAN/WHITE
331,330,EIX,EDISON INTERNATIONAL,9846,Pedro Pizarro,0,Hispanic/Latino,,1,M,0,1,0,0,0,,,9/30/16,,0,President/CEO,0,HISPANIC/LATIN AMERICAN
332,331,LYV,LIVE NATION ENTERTAINMENT,165746,Michael Rapino,0,Caucasian/White,,0,M,0,1,0,0,0,,,1/1/18,,0,President/CEO,0,CAUCASIAN/WHITE
333,332,PSA,PUBLIC STORAGE,10096,Joe Russell Jr,0,Caucasian/White,,0,M,0,1,0,0,0,,,1/1/19,,0,President/CEO,0,CAUCASIAN/WHITE
334,333,ECL,ECOLAB INC,4213,Doug Baker Jr,0,Caucasian/White,,0,M,0,1,0,0,0,,,12/2/11,1/1/21,0,Chairman/CEO,0,CAUCASIAN/WHITE
335,334,MMM,3M CO,7435,Mike Roman,0,Caucasian/White,,0,M,0,1,0,0,0,,,6/1/19,,0,Chairman/President/CEO,0,CAUCASIAN/WHITE
336,335,DLR,DIGITAL REALTY TRUST INC,160991,Bill Stein,0,Caucasian/White,,0,M,0,1,0,0,0,,,5/1/15,12/13/22,0,CEO,0,CAUCASIAN/WHITE
337,336,ORCL,ORACLE CORP,12142,Safra Catz,0,Caucasian/White,,0,F,1,1,0,0,0,,,10/18/19,,1,CEO,0,CAUCASIAN/WHITE
338,337,TSLA,TESLA INC,184996,Elon Musk,0,Caucasian/White,,0,M,0,1,0,0,0,,,11/7/18,,0,CEO,0,CAUCASIAN/WHITE
339,338,BIO,BIO-RAD LABORATORIES INC,2220,Norman Schwartz,0,Caucasian/White,,0,M,0,1,0,0,0,,,1/1/12,,0,Chairman/President/CEO,0,CAUCASIAN/WHITE
340,339,COO,COOPER COS INC (THE),3504,Al White III,0,Caucasian/White,,0,M,0,1,0,0,0,,,5/1/18,,0,President/CEO,0,CAUCASIAN/WHITE
341,340,CVX,CHEVRON CORP,2991,Mike Wirth,0,Caucasian/White,,0,M,0,1,0,0,0,,,2/1/18,,0,Chairman/CEO,0,CAUCASIAN/WHITE
342,341,DPZ,DOMINO'S PIZZA INC,160211,Ritch Allison Jr,0,Caucasian/White,,0,M,0,1,0,0,0,,,7/1/18,4/26/22,1,CEO,0,CAUCASIAN/WHITE
343,342,DGX,QUEST DIAGNOSTICS INC,64166,Steve Rusckowski,0,Caucasian/White,,0,M,0,1,0,0,0,,,1/1/17,11/1/22,0,Chairman/President/CEO,0,CAUCASIAN/WHITE
344,343,OGN,ORGANON & CO,38821,Kenneth Frazier,1,African American/Black,,1,M,0,1,0,0,0,,,6/1/21,,0,CEO,0,
345,344,VRSK,VERISK ANALYTICS INC,180652,Scott Stephenson,0,Caucasian/White,,0,M,0,1,0,0,0,,,4/1/16,5/5/22,0,Chairman/President/CEO,0,CAUCASIAN/WHITE
346,345,A,AGILENT TECHNOLOGIES INC,126554,Mike McMullen,0,Caucasian/White,,0,M,0,1,0,0,0,,,3/18/15,,0,President/CEO,0,CAUCASIAN/WHITE
347,346,AAPL,APPLE INC,1690,Tim Cook,0,Caucasian/White,,0,M,0,1,0,0,0,,,8/24/11,,0,CEO,0,CAUCASIAN/WHITE
348,347,ADBE,ADOBE INC,12540,Shantanu Narayen,0,Asian/Indian,,1,M,0,1,0,0,0,,,1/27/17,1/13/22,0,Chairman/President/CEO,0,INDIAN/SOUTH ASIAN
349,348,AMAT,APPLIED MATERIALS INC,1704,Gary Dickerson,0,Caucasian/White,,0,M,0,1,0,0,0,,,9/1/13,,0,President/CEO,0,CAUCASIAN/WHITE
350,349,AMD,ADVANCED MICRO DEVICES,1161,Doctor Lisa Su,0,Asian/Taiwanese,,1,F,1,1,0,0,0,,,10/8/14,2/14/22,0,President/CEO,0,ASIAN (EXCLUDE INDIAN/SOUTH ASIAN)
351,350,ANET,ARISTA NETWORKS INC,20748,Jayshree Ullal,0,Asian/Indian,,1,F,1,1,0,0,0,,,6/6/14,12/1/23,0,President/CEO,0,INDIAN/SOUTH ASIAN
352,351,AVGO,BROADCOM INC,180711,Hock Tan,0,Asian/Malaysian,,1,M,0,1,0,0,0,,,8/6/09,,0,President/CEO,0,ASIAN (EXCLUDE INDIAN/SOUTH ASIAN)
353,352,CDNS,CADENCE DESIGN SYSTEMS INC,13421,Lip-Bu Tan,0,Asian/Malaysian,,1,M,0,1,0,0,0,,,11/16/17,12/15/21,0,CEO,0,ASIAN (EXCLUDE INDIAN/SOUTH ASIAN)
354,353,CSCO,CISCO SYSTEMS INC,20779,Chuck Robbins,0,Caucasian/White,,0,M,0,1,0,0,0,,,12/11/17,,0,Chair/CEO,0,CAUCASIAN/WHITE
355,354,EBAY,EBAY INC,114524,Jamie Iannone,0,Caucasian/White,,0,M,0,1,0,0,1,4/27/20,incoming,4/27/20,,0,,0,CAUCASIAN/WHITE
356,355,FTNT,FORTINET INC,183377,Ken Xie,0,Asian/Chinese,,1,M,0,1,0,0,0,,,11/11/13,,0,Chairman/CEO,0,ASIAN (EXCLUDE INDIAN/SOUTH ASIAN)
357,356,GOOGL,ALPHABET INC,160329,Sundar Pichai,0,Asian/Indian,,1,M,0,1,0,0,0,,,12/3/19,,0,CEO,0,INDIAN/SOUTH ASIAN
358,357,HPQ,HP INC,5606,Enrique Lores,0,Hispanic/Latino,,1,M,0,1,0,0,0,,,11/1/19,,0,President/CEO,0,HISPANIC/LATIN AMERICAN
359,358,INTC,INTEL CORP,6008,Bob Swan,0,Caucasian/White,,0,M,0,1,0,0,0,,,1/30/19,2/15/21,0,CEO,0,CAUCASIAN/WHITE
360,359,INTU,INTUIT INC,27928,Sasan Goodarzi,0,Middle Eastern,,1,M,0,1,0,0,0,,,1/1/19,2/1/24,0,President/CEO,0,MIDDLE-EASTERN/NORTH AFRICAN
361,360,ISRG,INTUITIVE SURGICAL INC,136725,Doctor Gary Guthart,0,Caucasian/White,,0,M,0,1,0,0,0,,,1/1/10,5/16/23,0,President/CEO,0,CAUCASIAN/WHITE
362,361,JNPR,JUNIPER NETWORKS INC,121718,Rami Rahim,0,Middle Eastern,,1,M,0,1,0,0,0,,,11/10/14,,0,CEO,0,ASIAN (EXCLUDE INDIAN/SOUTH ASIAN)
363,362,KLAC,KLA CORP,6304,Rick Wallace,0,Caucasian/White,,0,M,0,1,0,0,0,,,11/13/08,,0,President/CEO,0,CAUCASIAN/WHITE
364,363,MXIM,MAXIM INTEGRATED PRODUCTS,14256,Tunc Doluca,0,Middle Eastern/Turkish,,1,M,0,1,0,0,0,,,1/1/07,8/26/21,0,President/CEO,0,MIDDLE-EASTERN/NORTH AFRICAN
365,364,NFLX,NETFLIX INC,147579,Wilmot Hastings Jr,0,Caucasian/White,,0,M,0,1,0,0,0,,,7/1/99,7/14/20,0,Chairman/President/CEO,0,CAUCASIAN/WHITE
366,365,NOW,SERVICENOW INC,171007,Bill McDermott,0,Caucasian/White,,0,M,0,1,0,0,0,,,11/18/19,10/25/22,0,President/CEO,0,CAUCASIAN/WHITE
367,366,NTAP,NETAPP INC,61591,George Kurian,0,Asian/Indian,,1,M,0,1,0,0,0,,,5/20/16,7/1/20,0,President/CEO,0,INDIAN/SOUTH ASIAN
368,367,NVDA,NVIDIA CORP,117768,Jensen Huang,0,Asian/Taiwanese,,1,M,0,1,0,0,0,,,4/1/93,,0,President/CEO,0,ASIAN (EXCLUDE INDIAN/SOUTH ASIAN)
369,368,PYPL,PAYPAL HOLDINGS INC,24616,Dan Schulman,0,Caucasian/White,,0,M,0,1,0,0,0,,,7/17/15,9/27/23,0,President/CEO,0,CAUCASIAN/WHITE
370,369,SIVB,SVB FINANCIAL GROUP,17120,Gregory W. Becker,0,Caucasian/White,,0,M,0,1,0,0,0,,,4/1/11,3/10/23,0,,0,CAUCASIAN/WHITE
371,370,TRMB,TRIMBLE INC,22815,Robert G. Painter,0,Caucasian/White,,0,M,0,1,0,0,1,1/4/20,incoming,1/4/20,,0,,0,CAUCASIAN/WHITE
372,371,VAR,VARIAN MEDICAL SYSTEMS INC,11115,Dow Wilson,0,Caucasian/White,,0,M,0,1,0,0,0,,,9/29/12,10/5/20,0,President/CEO,0,CAUCASIAN/WHITE
373,372,SNPS,SYNOPSYS INC,24975,"Doctor Aart De Geus, Doctor Chi-Foon Chan",0,Caucasian/White,,0,M,0,1,1,1,0,0,0,1/1/86,,0,Chairman/Co-CEO,0,CAUCASIAN/WHITE
374,373,WDC,WESTERN DIGITAL CORP,11399,David Goeckeler,0,Caucasian/White,,0,M,0,1,0,0,0,,,3/9/20,,0,,0,CAUCASIAN/WHITE
375,374,XLNX,XILINX INC,22325,Victor Peng,0,Asian/Chinese,,1,M,0,1,0,0,0,,,1/29/18,2/14/22,0,President/CEO,0,ASIAN (EXCLUDE INDIAN/SOUTH ASIAN)
376,375,ADM,ARCHER-DANIELS-MIDLAND CO,1722,Juan Luciano,0,Hispanic/Latino,,1,M,0,1,0,0,0,,,1/1/16,,0,Chairman/President/CEO,0,HISPANIC/LATIN AMERICAN
377,376,AJG,ARTHUR J GALLAGHER & CO,4973,Pat Gallagher Jr,0,Caucasian/White,,0,M,0,1,0,0,0,,,10/19/06,1/1/24,0,Chairman/President/CEO,0,CAUCASIAN/WHITE
378,377,ALL,ALLSTATE CORP,28349,Tom Wilson II,0,Caucasian/White,,0,M,0,1,0,0,0,,,2/23/18,,0,Chairman/President/CEO,0,CAUCASIAN/WHITE
379,378,BA,BOEING CO,2285,David L. Calhoun,0,Caucasian/White,,0,M,0,1,0,0,0,,,,,0,CEO,1,CAUCASIAN/WHITE
380,379,CAG,CONAGRA BRANDS INC,3362,Sean Connolly,0,Caucasian/White,,0,M,0,1,0,0,0,,,4/6/15,,0,President/CEO,0,CAUCASIAN/WHITE
381,380,CBOE,CBOE GLOBAL MARKETS INC,184500,Ed Tilly,0,Caucasian/White,,0,M,0,1,0,0,0,,,1/14/19,5/12/22,0,Chairman/President/CEO,0,CAUCASIAN/WHITE
382,381,CME,CME GROUP INC,149070,The Hon. Terry Duffy,0,Caucasian/White,,0,M,0,1,0,0,0,,,11/10/16,,0,Chairman/CEO,0,CAUCASIAN/WHITE
383,382,EQR,EQUITY RESIDENTIAL,28733,Mark Parrell,0,Caucasian/White,,0,M,0,1,0,0,0,,,12/31/18,,0,President/CEO,0,CAUCASIAN/WHITE
384,383,EXC,EXELON CORP,8539,Chris Crane,0,Caucasian/White,,0,M,0,1,0,0,0,,,3/12/12,10/17/22,1,President/CEO,0,CAUCASIAN/WHITE
385,384,GEHC,GE HEALTHCARE TECHNOLOGI INC,41818,Kieran Murphy,0,Caucasian/White,,0,M,0,1,0,0,0,,,6/1/17,1/3/22,0,,0,CAUCASIAN/WHITE
386,385,IEX,IDEX CORP,15267,"Andrew K. Silvernail, Eric D. Ashleman",0,Caucasian/White,,0,M,0,1,1,0,1,12/15/20,incoming,12/15/20,,0,,0,CAUCASIAN/WHITE
387,386,ITW,ILLINOIS TOOL WORKS,5878,Ernest Santi,0,Caucasian/White,,0,M,0,1,0,0,0,,,5/8/15,1/1/24,0,Chairman/CEO,0,CAUCASIAN/WHITE
388,387,LKQ,LKQ CORP,155394,Nick Zarcone,0,Caucasian/White,,0,M,0,1,0,0,0,,,5/31/17,,0,President/CEO,0,CAUCASIAN/WHITE
389,388,MCD,MCDONALD'S CORP,7154,Chris Kempczinski,0,Caucasian/White,,0,M,0,1,0,0,0,,,,,0,,0,CAUCASIAN/WHITE
390,389,MDLZ,MONDELEZ INTERNATIONAL INC,142953,Doctor Dirk van de Put,0,Caucasian/White,,0,M,0,1,0,0,0,,,4/1/18,,1,Chairman/CEO,0,CAUCASIAN/WHITE
391,390,MSI,MOTOROLA SOLUTIONS INC,7585,Greg Brown,0,Caucasian/White,,0,M,0,1,0,0,0,,,5/3/11,,0,Chairman/CEO,0,CAUCASIAN/WHITE
392,391,NTRS,NORTHERN TRUST CORP,7982,Mike O'Grady,0,Caucasian/White,,0,M,0,1,0,0,0,,,1/23/19,,1,Chairman/President/CEO,0,CAUCASIAN/WHITE
393,392,UAL,UNITED AIRLINES HOLDINGS INC,10795,Scott Kirby,0,Caucasian/White,,0,M,0,1,1,0,0,5/20/20,incoming,5/20/20,,1,CEO,1,CAUCASIAN/WHITE
394,393,VTR,VENTAS INC,110179,Debra Cafaro,0,Caucasian/White,,0,F,1,1,0,0,0,,,11/2/10,,0,Chairman/CEO,0,CAUCASIAN/WHITE
395,394,KEYS,KEYSIGHT TECHNOLOGIES INC,20232,Ron Nersesian,0,Caucasian/White,,0,M,0,1,0,0,0,,,11/1/19,5/1/22,0,Chairman/President/CEO,0,CAUCASIAN/WHITE
396,395,ALK,ALASKA AIR GROUP INC,1230,Brad Tilden,0,Caucasian/White,,0,M,0,1,0,0,0,,,1/1/14,3/31/21,0,Chairman/President/CEO,0,CAUCASIAN/WHITE
397,396,AMZN,AMAZON.COM INC,64768,Jeff Bezos,0,Caucasian/White,,0,M,0,1,0,0,0,,,10/1/00,7/5/21,0,Chairman/President/CEO,0,CAUCASIAN/WHITE
398,397,COST,COSTCO WHOLESALE CORP,29028,W Jelinek,0,Caucasian/White,,0,M,0,1,0,0,0,,,1/1/12,2/2/22,0,President/CEO,0,CAUCASIAN/WHITE
399,398,EXPD,EXPEDITORS INTL WASH INC,4494,Jeff Musser,0,Caucasian/White,,0,M,0,1,0,0,0,,,3/1/14,,0,President/CEO,0,CAUCASIAN/WHITE
400,399,EXPE,EXPEDIA GROUP INC,126296,Peter Kern,0,Caucasian/White,,0,M,0,1,0,0,0,,,4/22/20,,0,,0,CAUCASIAN/WHITE
401,400,FFIV,F5 INC,121077,Francois Locoh-Donou,1,African American/Black,,1,M,0,1,0,0,0,,,,,0,,0,BLACK/AFRICAN AMERICAN
402,401,MSFT,MICROSOFT CORP,12141,Satya Nadella,0,Asian/Indian,,1,M,0,1,0,0,0,,,2/4/14,6/16/21,0,CEO,0,INDIAN/SOUTH ASIAN
403,402,PCAR,PACCAR INC,8253,R Feight,0,Caucasian/White,,0,M,0,1,0,0,0,,,7/1/19,,0,CEO,0,CAUCASIAN/WHITE
404,403,SBUX,STARBUCKS CORP,25434,Kevin Johnson,0,Caucasian/White,,0,M,0,1,0,0,0,,,4/3/17,4/4/22,0,President/CEO,0,CAUCASIAN/WHITE
405,404,TMUS,T-MOBILE US INC,17874,Mike Sievert,0,Caucasian/White,,0,M,0,0,0,0,0,4/1/20,incoming,4/1/20,,0,,0,CAUCASIAN/WHITE
406,405,WY,WEYERHAEUSER CO,11456,Devin Stockfish,0,Caucasian/White,,0,M,0,1,0,0,0,,,1/1/19,,0,President/CEO,0,CAUCASIAN/WHITE
407,406,LNT,ALLIANT ENERGY CORP,11554,John Larsen,0,Caucasian/White,,0,M,0,1,0,0,0,,,7/1/19,2/27/23,0,Chair/President/CEO,0,CAUCASIAN/WHITE
408,407,ETSY,ETSY INC,23238,Josh Silverman,0,Caucasian/White,,0,M,0,1,0,0,0,,,5/3/17,,0,President/CEO,0,CAUCASIAN/WHITE
409,408,ADP,AUTOMATIC DATA PROCESSING,1891,Carlos Rodriguez,0,Hispanic/Latino,,1,M,0,1,0,0,0,,,11/8/11,1/1/22,0,President/CEO,0,HISPANIC/LATIN AMERICAN
410,409,PEG,PUBLIC SERVICE ENTRP GRP INC,8810,Doctor Ralph Izzo,0,Caucasian/White,,0,M,0,1,0,0,0,,,4/1/07,8/31/22,0,Chairman/President/CEO,0,CAUCASIAN/WHITE
411,410,PRU,PRUDENTIAL FINANCIAL INC,143356,Charlie Lowrey Jr,0,Caucasian/White,,0,M,0,1,0,0,0,,,4/5/19,,0,Chairman/President/CEO,0,CAUCASIAN/WHITE
412,411,BEN,FRANKLIN RESOURCES INC,4885,Jennifer M. Johnson,0,Caucasian/White,,0,F,1,0,0,0,0,2/11/20,incoming,2/11/20,,0,,0,CAUCASIAN/WHITE
413,412,EA,ELECTRONIC ARTS INC,16721,Andrew Wilson,0,Caucasian/White,,0,M,0,1,0,0,0,,,9/17/13,8/12/21,0,CEO,0,CAUCASIAN/WHITE
414,413,EQIX,EQUINIX INC,138743,Charles Meyers,0,Caucasian/White,,0,M,0,1,0,0,0,,,9/12/18,,0,President/CEO,0,CAUCASIAN/WHITE
415,414,ESS,ESSEX PROPERTY TRUST,30293,Mike Schall,0,Caucasian/White,,0,M,0,1,0,0,0,,,1/1/11,3/31/23,0,President/CEO,0,CAUCASIAN/WHITE
416,415,GILD,GILEAD SCIENCES INC,24856,Daniel O'Day,0,Caucasian/White,,0,M,0,1,0,0,0,,,3/1/19,,0,Chairman/CEO,0,CAUCASIAN/WHITE
417,416,META,META PLATFORMS INC,170617,Mark Zuckerberg,0,Caucasian/White,,0,M,0,1,0,0,0,,,5/18/12,,0,Chairman/CEO,0,CAUCASIAN/WHITE
418,417,RHI,ROBERT HALF INTL INC,2312,Michael Waddell,0,Caucasian/White,,0,M,0,1,0,0,0,,,12/15/19,,0,Vice Chairman/CEO/President,0,CAUCASIAN/WHITE
419,418,V,VISA INC,179534,Al Kelly Jr,0,Caucasian/White,,0,M,0,1,0,0,0,,,4/16/19,2/1/23,0,Chairman/CEO,0,CAUCASIAN/WHITE
