obs,coid,tic,conm_x,gvkey,ceo_name,ceo_race(black)_manual check,ceo_ethnicity_manual check,,ceo_minority,ceo_gender,ceo_female,ceo_active_2020_may26_dec31,firm_multiple_ceos_may26_dec31,firm_coceo_2020,firm_ceo_change_2020_may26_dec31,firm_ceo_change_date_2020,ceo_in_or_out_2020,DateStartRole_boardex,DateEndRole_boardex,Actual_Bermiss_discrepancy,RoleName_boardex,Interim_boardex,ethnicity_boardex (for comparison with ceo_ethnicity column)
42,42,RSG,REPUBLIC SERVICES INC,112168,Don Slager,0,Caucasian/White,,0,M,0,1,0,0,0,,,5/1/19,5/21/21,0,CEO,0,CAUCASIAN/WHITE
43,43,DLTR,DOLLAR TREE INC,31587,Gary Philbin,0,Caucasian/White,,0,M,0,1,0,0,0,,,12/9/19,7/20/20,0,CEO,0,CAUCASIAN/WHITE
44,44,CEG,CONSTELLATION ENE CORP,40614,Christopher M. Crane,0,Caucasian/White,,1,M,0,1,0,0,0,,,3/12/12,12/30/22,0,,0,CAUCASIAN/WHITE
45,45,TROW,PRICE (T. ROWE) GROUP,12138,William Stromberg,0,Caucasian/White,,0,M,0,1,0,0,0,,,4/25/19,2/11/21,0,Chairman/President/CEO,0,CAUCASIAN/WHITE
46,46,UAA,UNDER ARMOUR INC,165052,Patrik Frisk,0,Caucasian/White,,0,M,0,1,0,0,0,,,1/1/20,6/1/22,0,,0,CAUCASIAN/WHITE
47,47,EXR,EXTRA SPACE STORAGE INC,160479,Joe Margolis,0,Caucasian/White,,0,M,0,1,0,0,0,,,5/18/17,,0,CEO,0,CAUCASIAN/WHITE
48,48,ZION,ZIONS BANCORPORATION NA,11687,Harris Simmons,0,Caucasian/White,,0,M,0,1,0,0,0,,,3/4/14,,0,Chairman/CEO,0,CAUCASIAN/WHITE
49,49,DAL,DELTA AIR LINES INC,3851,Ed Bastian,0,Caucasian/White,,0,M,0,1,0,0,0,,,5/2/16,,0,CEO,0,CAUCASIAN/WHITE
50,50,EFX,EQUIFAX INC,4423,Mark Begor,0,Caucasian/White,,0,M,0,1,0,0,0,,,4/16/18,,0,CEO,0,CAUCASIAN/WHITE
51,51,FLT,FLEETCOR TECHNOLOGIES INC,184700,Ron Clarke,0,Caucasian/White,,0,M,0,1,0,0,0,,,12/15/10,,0,Chairman/President/CEO,0,CAUCASIAN/WHITE
52,52,GPN,GLOBAL PAYMENTS INC,141913,Jeff Sloan,0,Caucasian/White,,0,M,0,1,0,0,0,,,6/30/14,6/1/23,0,CEO,0,CAUCASIAN/WHITE
53,53,ICE,INTERCONTINENTAL EXCHANGE,163610,Jeff Sprecher,0,Caucasian/White,,0,M,0,1,0,0,0,,,11/1/02,,0,Chairman/CEO,0,CAUCASIAN/WHITE
54,54,IVZ,INVESCO LTD,29804,Marty Flanagan,0,Caucasian/White,,0,M,0,1,0,0,0,,,8/1/05,6/30/23,0,President/CEO,0,CAUCASIAN/WHITE
55,55,KO,COCA-COLA CO,3144,James Quincey,0,Caucasian/White,,0,M,0,1,0,0,0,,,4/24/19,,1,Chairman/CEO,0,CAUCASIAN/WHITE
56,56,NSC,NORFOLK SOUTHERN CORP,7923,Jim Squires,0,Caucasian/White,,0,M,0,1,0,0,0,,,10/1/15,12/1/21,0,Chairman/President/CEO,0,CAUCASIAN/WHITE
57,57,NWL,NEWELL BRANDS INC,7875,Ravi Saligram,0,Asian/Indian,,1,M,0,1,0,0,0,,,10/2/19,5/5/22,0,President/CEO,0,INDIAN/SOUTH ASIAN
58,58,PHM,PULTEGROUP INC,8823,Ryan Marshall,0,Caucasian/White,,0,M,0,1,0,0,0,,,9/8/16,,0,President/CEO,0,CAUCASIAN/WHITE
59,59,ROL,ROLLINS INC,9225,Gary Rollins,0,Caucasian/White,,0,M,0,1,0,0,0,,,1/22/13,8/25/20,0,Vice Chairman/CEO,0,CAUCASIAN/WHITE
