1+2num,CompanyID,1num,tic,1conm_x,3CompanyName,gvkey,1ceo_minority,1ethnicity (from boardex),1ceo_name,3DirectorName,3FirstName,3LastName,1ceo_race(black),3RoleType,3RoleName,3Seniority,2020_Active_May26_Dec31,3DateStartRole,3DateEndRole,2020_CEO_Change,2020_2CEOs,X3num,X3CompanyID,X3DirectorID
483,478,240,WRB,BERKLEY (W R) CORP,NA,14822,0,CAUCASIAN/WHITE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA
489,484,311,XEL,XCEL ENERGY INC,NA,7977,0,CAUCASIAN/WHITE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA
495,490,196,YUM,YUM BRANDS INC,NA,65417,0,CAUCASIAN/WHITE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA
499,494,120,ZTS,ZOETIS INC,NA,13721,0,CAUCASIAN/WHITE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA
1,1,345,A,AGILENT TECHNOLOGIES INC,AGILENT TECHNOLOGIES INC,126554,0,CAUCASIAN/WHITE,NA,Mike McMullen,Mike,McMullen,NA,CEO,President/CEO,Executive Director,Yes,3/18/15,,,,2,1060,598782
2,2,114,AAL,AMERICAN AIRLINES GROUP INC,AMERICAN AIRLINES GROUP INC (AMR Corp prior to 12/2013),1045,0,CAUCASIAN/WHITE,NA,Doug Parker Jr,Doug,Parker Jr,NA,CEO,Chairman/CEO,Executive Director,Yes,6/4/14,3/31/22,,,3,2021732,273457
3,3,17,AAP,ADVANCE AUTO PARTS INC,ADVANCE AUTO PARTS INC,145977,0,CAUCASIAN/WHITE,NA,Tom Greco,Tom,Greco,NA,CEO,President/CEO,Executive Director,Yes,8/14/16,9/11/23,,,4,95856,1013356
4,4,346,AAPL,APPLE INC,APPLE INC (Apple Computer Inc prior to 01/2007),1690,0,CAUCASIAN/WHITE,NA,Tim Cook,Tim,Cook,NA,CEO,CEO,Executive Director,Yes,8/24/11,,,,5,2355,55422
5,5,219,ABBV,ABBVIE INC,ABBVIE INC,16101,1,HISPANIC/LATIN AMERICAN,NA,Rick Gonzalez,Rick,Gonzalez,NA,CEO,Chairman/CEO,Executive Director,Yes,1/2/13,,,,6,1921326,33494
7,7,233,ABMD,ABIOMED INC,ABIOMED INC (De-listed 12/2022),13619,0,CAUCASIAN/WHITE,NA,Mike Minogue,Mike,Minogue,NA,CEO,Chairman/President/CEO,Executive Director,Yes,6/15/05,12/22/22,,,7,481,336173
9,9,347,ADBE,ADOBE INC,ADOBE INC (Adobe Systems Inc prior to 10/2018),12540,1,INDIAN/SOUTH ASIAN,NA,Shantanu Narayen,Shantanu,Narayen,NA,CEO,Chairman/President/CEO,Executive Director,Yes,1/27/17,1/13/22,,,8,808,49351
10,10,312,ADI,ANALOG DEVICES INC,ANALOG DEVICES INC,1632,0,CAUCASIAN/WHITE,NA,Vincent Roche,Vincent,Roche,NA,CEO,President/CEO,Executive Director,Yes,5/6/13,3/9/22,,,9,2145,35469
11,11,375,ADM,ARCHER-DANIELS-MIDLAND CO,ARCHER-DANIELS-MIDLAND CO,1722,1,HISPANIC/LATIN AMERICAN,NA,Juan Luciano,Juan,Luciano,NA,CEO,Chairman/President/CEO,Executive Director,Yes,1/1/16,,,,10,2490,890753
12,12,408,ADP,AUTOMATIC DATA PROCESSING,AUTOMATIC DATA PROCESSING INC (ADP),1891,1,HISPANIC/LATIN AMERICAN,NA,Carlos Rodriguez,Carlos,Rodriguez,NA,CEO,President/CEO,Executive Director,Yes,11/8/11,1/1/22,,,11,3101,745222
13,13,441,ADSK,AUTODESK INC,AUTODESK INC,1878,0,CAUCASIAN/WHITE,NA,Doctor Andrew Anagnost,Andrew,Anagnost,NA,CEO,President/CEO,Executive Director,Yes,6/19/17,1/19/21,,,12,3118,1203207
14,14,439,AEE,AMEREN CORP,AMEREN CORP,10860,0,CAUCASIAN/WHITE,NA,Warner Baxter,Warner,Baxter,NA,CEO,Chairman/President/CEO,Executive Director,Yes,7/1/14,1/1/22,,,13,1976,51707
15,15,259,AEP,AMERICAN ELECTRIC POWER CO,AMERICAN ELECTRIC POWER CO INC,1440,0,CAUCASIAN/WHITE,NA,Nick Akins,Nick,Akins,NA,CEO,Chairman/President/CEO,Executive Director,Yes,1/1/14,8/10/22,,,14,1809,533555
16,16,77,AES,AES CORP (THE),AES CORP,24216,1,HISPANIC/LATIN AMERICAN,NA,Doctor Andres Gluski Weilert,Andres,Weilert,NA,CEO,President/CEO,Executive Director,Yes,9/30/11,,,,15,979,452889
19,19,419,AIV,APARTMENT INVST & MGMT CO,APARTMENT INVESTMENT & MANAGEMENT CO (AIMCO),30490,0,CAUCASIAN/WHITE,NA,The Hon. Terry Considine,Terry,Considine,NA,CEO,Chairman/CEO,Executive Director,Yes,2/10/09,12/15/20,,,16,2310,87112
20,20,449,AIZ,ASSURANT INC,ASSURANT INC,157057,0,CAUCASIAN/WHITE,NA,Alan Colberg,Alan,Colberg,NA,CEO,President/CEO,Executive Director,Yes,1/1/15,5/18/21,,,17,550072,853893
21,21,376,AJG,ARTHUR J GALLAGHER & CO,ARTHUR J GALLAGHER & CO,4973,0,CAUCASIAN/WHITE,NA,Pat Gallagher Jr,Pat,Gallagher Jr,NA,CEO,Chairman/President/CEO,Executive Director,Yes,10/19/06,1/1/24,,,18,12761,81627
22,22,313,AKAM,AKAMAI TECHNOLOGIES INC,AKAMAI TECHNOLOGIES INC,125595,0,CAUCASIAN/WHITE,NA,Doctor Tom Leighton,Tom,Leighton,NA,CEO,CEO,Executive Director,Yes,1/1/13,,,,19,1221,183176
24,24,36,ALGN,ALIGN TECHNOLOGY INC,ALIGN TECHNOLOGY INC,141384,0,CAUCASIAN/WHITE,NA,Joe Hogan,Joe,Hogan,NA,CEO,President/CEO,Executive Director,Yes,6/1/15,,,,20,1384,32461
