"coid","tic","conm_x","gvkey","ceo_name","2First.x","2Last.x","ceo_ethnicity","ceo_race(black)","ceo_minority","ceo_gender","ceo_female","2020_active","2020_active_may26_dec31","2020_two_ceos","2020_co-ceo","2020_ceo_change","2020_ceo_change_date","2020_in_or_out","ethnicity_boardex","BE_from_bermiss","Actual_Bermiss_discrepancy","RoleType_boardex","RoleName_boardex","Interim_boardex","DateStartRole_boardex","DateEndRole_boardex","2First.y","2Last.y"
430,"ALXN","ALEXION PHARMACEUTICALS INC",62263,"Doctor Ludwig Hantson",NA,NA,"Caucasian/White",0,0,"M",0,1,1,0,0,0,NA,NA,"CAUCASIAN/WHITE",NA,0,"CEO","CEO",0,"3/27/17","7/21/21",NA,NA
36,"ALGN","ALIGN TECHNOLOGY INC",141384,"Joe Hogan",NA,NA,"Caucasian/White",0,0,"M",0,1,1,0,0,0,NA,NA,"CAUCASIAN/WHITE",NA,0,"CEO","President/CEO",0,"6/1/15",NA,NA,NA
406,"LNT","ALLIANT ENERGY CORP",11554,"John Larsen",NA,NA,"Caucasian/White",0,0,"M",0,1,1,0,0,0,NA,NA,"CAUCASIAN/WHITE",NA,0,"CEO","Chair/President/CEO",0,"7/1/19","2/27/23",NA,NA
377,"ALL","ALLSTATE CORP",28349,"Tom Wilson II",NA,NA,"Caucasian/White",0,0,"M",0,1,1,0,0,0,NA,NA,"CAUCASIAN/WHITE",NA,0,"CEO","Chairman/President/CEO",0,"2/23/18",NA,NA,NA
356,"GOOGL","ALPHABET INC",160329,"Sundar Pichai",NA,NA,"Asian/Indian",0,1,"M",0,1,1,0,0,0,NA,NA,"INDIAN/SOUTH ASIAN",NA,0,"CEO","CEO",0,"12/3/19",NA,NA,NA
431,"AMT","AMERICAN TOWER CORP",179437,"Thomas A. Bartlett",NA,NA,"Caucasian/White",0,0,"M",0,1,1,1,0,1,"20-Jun","incoming",NA,NA,0,"CEO",NA,0,"6/14/20",NA,NA,NA
281,"AWK","AMERICAN WATER WORKS CO INC",179437,"Susan N. Story",NA,NA,"Caucasian/White",0,0,"F",1,1,1,0,0,1,"20-Apr","outgoing","CAUCASIAN/WHITE",NA,0,"CEO",NA,0,"5/1/14","4/1/20",NA,NA
396,"AMZN","AMAZON.COM INC",64768,"Jeff Bezos",NA,NA,"Caucasian/White",0,0,"M",0,1,1,0,0,0,NA,NA,"CAUCASIAN/WHITE",NA,0,"CEO","Chairman/President/CEO",0,"10/1/00","7/5/21",NA,NA
439,"AEE","AMEREN CORP",10860,"Warner Baxter",NA,NA,"Caucasian/White",0,0,"M",0,1,1,0,0,0,NA,NA,"CAUCASIAN/WHITE",NA,0,"CEO","Chairman/President/CEO",0,"7/1/14","1/1/22",NA,NA
114,"AAL","AMERICAN AIRLINES GROUP INC",1045,"Doug Parker Jr",NA,NA,"Caucasian/White",0,0,"M",0,1,1,0,0,0,NA,NA,"CAUCASIAN/WHITE",NA,0,"CEO","Chairman/CEO",0,"6/4/14","3/31/22",NA,NA
259,"AEP","AMERICAN ELECTRIC POWER CO",1440,"Nick Akins",NA,NA,"Caucasian/White",0,0,"M",0,1,1,0,0,0,NA,NA,"CAUCASIAN/WHITE",NA,0,"CEO","Chairman/President/CEO",0,"1/1/14","8/10/22",NA,NA
450,"AXP","AMERICAN EXPRESS CO",1447,"Steve Squeri",NA,NA,"Caucasian/White",0,0,"M",0,1,1,0,0,0,NA,NA,"CAUCASIAN/WHITE",1,1,"CEO","Chairman/CEO",0,"2/1/18",NA,"Kenneth","Chenault"
448,"AIG","AMERICAN INTERNATIONAL GROUP",1487,"Brian Duperreault",NA,NA,"Caucasian/White",0,0,"M",0,1,1,0,0,0,NA,NA,"CAUCASIAN/WHITE",NA,0,"CEO",NA,0,"5/1/17","3/1/21",NA,NA
281,"AWK","AMERICAN WATER WORKS CO INC",179437,"Walter J. Lynch",NA,NA,"Caucasian/White",0,0,"M",0,1,1,0,0,1,"20-Apr","incoming","CAUCASIAN/WHITE",NA,0,"CEO",NA,0,"4/1/20",NA,NA,NA
181,"BDX","BECTON DICKINSON & CO",2111,"Vincent A. Forlenza",NA,NA,"Caucasian/White",0,0,"M",0,1,1,0,0,1,"20-Jan","outgoing","CAUCASIAN/WHITE",NA,0,"CEO",NA,0,"10/1/11","1/28/20",NA,NA
181,"BDX","BECTON DICKINSON & CO",2111,"Thomas E. Polen",NA,NA,"Caucasian/White",0,0,"M",0,1,1,0,0,1,"20-Jan","incoming","CAUCASIAN/WHITE",NA,0,"CEO",NA,0,"1/28/20",NA,NA,NA
240,"WRB","BERKLEY (W R) CORP",14822,"William R. Berkley",NA,NA,"Caucasian/White",0,0,"M",0,1,0,0,0,1,"20-Jan","outgoing","CAUCASIAN/WHITE",NA,0,"CEO",NA,0,"5/20/05","10/31/15",NA,NA
304,"AMP","AMERIPRISE FINANCIAL INC",164708,"Jim Cracchiolo",NA,NA,"Caucasian/White",0,0,"M",0,1,1,0,0,0,NA,NA,"CAUCASIAN/WHITE",NA,0,"CEO","Chairman/CEO",0,"9/30/05",NA,NA,NA
231,"ABC","AMERISOURCEBERGEN CORP",31673,"Steven H. Collis",NA,NA,"Caucasian/White",0,0,"M",0,1,1,0,0,0,NA,NA,"CAUCASIAN/WHITE",NA,0,"CEO",NA,0,"7/1/11",NA,NA,NA
186,"AME","AMETEK INC",1598,"David Zapico",NA,NA,"Caucasian/White",0,0,"M",0,1,1,0,0,0,NA,NA,"CAUCASIAN/WHITE",NA,0,"CEO","Chairman/CEO",0,"7/7/17",NA,NA,NA
197,"AMGN","AMGEN INC",1602,"Bob Bradway",NA,NA,"Caucasian/White",0,0,"M",0,1,1,0,0,0,NA,NA,"CAUCASIAN/WHITE",NA,0,"CEO","Chairman/President/CEO",0,"1/1/13",NA,NA,NA
189,"APH","AMPHENOL CORP",14282,"Richard Norwitt",NA,NA,"Caucasian/White",0,0,"M",0,1,1,0,0,0,NA,NA,"CAUCASIAN/WHITE",NA,0,"CEO","President/CEO",0,"1/5/09",NA,NA,NA
