2num,2first,last,2Company,2AnnDate,gvkey,2permno,2ExecType,2BE,2Confounded,2Interim,2Female,2DirectorName,2Gender
230,Michael,Smith,Huntington Ingalls Industries,10/30/15,186310,12623,TMT,1,1,,0,Michael Smith,M
231,Susan,Somersille Johnson,SunTrust Banks,8/5/14,10187,68144,TMT,1,0,,1,Susan Somersille Johnson,F
232,Denis,Suggs,Belden,6/14/07,28940,79668,TMT,1,0,,0,Denis Suggs,M
233,Scott,Taylor,Symantec,8/1/08,15855,75607,TMT,1,1,,0,Scott Taylor,M
234,Shundrawn,Thomas,Northern Trust,5/28/14,7982,58246,TMT,1,1,,0,Shundrawn Thomas,M
235,Michael,Todman,Whirlpool,3/25/01,11465,25419,TMT,1,0,,0,Michael Todman,M
236,Tracey,Travis,Estee Lauder,7/18/12,61567,82642,TMT,1,0,,1,Tracey Travis,F
237,Tracey,Travis,Polo Ralph Lauren,11/20/04,64891,85072,TMT,1,1,,1,Tracey Travis,F
238,Tracey,Travis,Estee Lauder,7/18/12,61567,82642,TMT,1,0,,1,Tracey Travis,F
239,Michael,Triplett,Cigna,2/23/17,2547,64186,TMT,1,1,,0,Michael Triplett,M
240,Michael,Tucker,Avis Budget Group,4/22/10,3278,25487,TMT,1,0,,0,Michael Tucker,M
241,Reed,Tuckson,UnitedHealth Group,9/16/00,10903,92655,TMT,1,0,,0,Reed Tuckson,M
242,Kellye,Walker,Huntington Ingalls Industries,12/17/14,186310,12623,TMT,1,1,,1,Kellye Walker,F
243,Kathy,Waller,Coca-Cola,2/20/14,3144,11308,TMT,1,1,,1,Kathy Waller,F
244,Laysha,Ward,Target,12/17/14,3813,49154,TMT,1,1,,1,Laysha Ward,F
245,Kevin,Warren,Xerox,12/7/16,11636,27983,TMT,1,1,,0,Kevin Warren,M
246,Robin,Washington,Gilead Sciences,4/21/08,24856,77274,TMT,1,0,,1,Robin Washington,F
247,Jeffrey,Weaver,KeyCorp,7/5/05,9783,64995,TMT,1,0,,0,Jeffrey Weaver,M
248,Mary Beth,West,Kraft Foods,10/29/07,142953,89006,TMT,1,0,,1,Mary Beth West,F
249,Roderick,West,Entergy,6/7/10,7366,24010,TMT,1,1,,0,Roderick West,M
250,Teresa,White,A_ac,9/29/14,1449,57904,TMT,1,1,,1,Teresa White,F
251,Anr_,Williams,American Express,11/4/11,1447,59176,TMT,1,1,,0,Anr_ Williams,M
252,Felicia,Williams,Macy's,1/15/16,4611,77462,TMT,1,1,,1,Felicia Williams,F
253,Xavier,Williams,AT&T,10/12/17,9899,66093,TMT,1,0,,0,Xavier Williams,M
254,Kathleen,Wilson-Thompson,Walgreens Boots Alliance,11/23/09,11264,19502,TMT,1,1,,1,Kathleen Wilson-Thompson,F
255,Mary Beth,Winston,Family Dollar Stores,4/10/12,4560,53866,TMT,1,1,,1,Mary Beth Winston,F
256,Christopher,Womack,Southern Company,12/22/08,9850,18411,TMT,1,0,,0,Christopher Womack,M
257,Teresa,Wynn Roseborough,Home Depot,10/7/11,5680,66181,TMT,1,0,,1,Teresa Wynn Roseborough,F
