coid,tic,conm_x,gvkey,ceo_name,ceo_ethnicity,ceo_race(black),ceo_minority,ceo_gender,ceo_female,2020_active,2020_active_may26_dec31,2020_two_ceos,2020_co-ceo,2020_ceo_change,2020_ceo_change_date,2020_in_or_out,ethnicity_boardex,BE_from_bermiss,Actual_Bermiss_discrepancy,RoleType_boardex,RoleName_boardex,Interim_boardex,DateStartRole_boardex,DateEndRole_boardex,,,,,
67,MO,ALTRIA GROUP INC,8543,William F. Gifford Jr.,Caucasian/White,0,0,M,0,1,1,0,0,1,Apr-20,incoming,CAUCASIAN/WHITE,,0,CEO,,0,4/16/20,,,,,,
431,AMT,AMERICAN TOWER CORP,105365,James D. Taiclet Jr.,Caucasian/White,0,0,M,0,1,1,0,0,1,Jun-20,outgoing,CAUCASIAN/WHITE,,0,CEO,,0,6/25/05,6/14/20,,,,,
326,ARE,ALEXANDRIA R E EQUITIES INC,64821,Peter Moglia,Caucasian/White,0,0,M,0,1,1,1,1,0,,,CAUCASIAN/WHITE,,0,CEO,CIO/Co-CEO,0,4/1/18,,,,,,
326,ARE,ALEXANDRIA R E EQUITIES INC,64821,Stephen Richardson,Caucasian/White,0,0,M,0,1,1,1,1,0,,,CAUCASIAN/WHITE,,0,CEO,Co-CEO,0,4/1/18,7/1/22,,,,,
430,ALXN,ALEXION PHARMACEUTICALS INC,62263,Doctor Ludwig Hantson,Caucasian/White,0,0,M,0,1,1,0,0,0,,,CAUCASIAN/WHITE,,0,CEO,CEO,0,3/27/17,7/21/21,,,,,
36,ALGN,ALIGN TECHNOLOGY INC,141384,Joe Hogan,Caucasian/White,0,0,M,0,1,1,0,0,0,,,CAUCASIAN/WHITE,,0,CEO,President/CEO,0,6/1/15,,,,,,
406,LNT,ALLIANT ENERGY CORP,11554,John Larsen,Caucasian/White,0,0,M,0,1,1,0,0,0,,,CAUCASIAN/WHITE,,0,CEO,Chair/President/CEO,0,7/1/19,2/27/23,,,,,
377,ALL,ALLSTATE CORP,28349,Tom Wilson II,Caucasian/White,0,0,M,0,1,1,0,0,0,,,CAUCASIAN/WHITE,,0,CEO,Chairman/President/CEO,0,2/23/18,,,,,,
356,GOOGL,ALPHABET INC,160329,Sundar Pichai,Asian/Indian,0,1,M,0,1,1,0,0,0,,,INDIAN/SOUTH ASIAN,,0,CEO,CEO,0,12/3/19,,,,,,
431,AMT,AMERICAN TOWER CORP,179437,Thomas A. Bartlett,Caucasian/White,0,0,M,0,1,1,1,0,1,Jun-20,incoming,,,0,CEO,,0,6/14/20,,,,,,
281,AWK,AMERICAN WATER WORKS CO INC,179437,Susan N. Story,Caucasian/White,0,0,F,1,1,1,0,0,1,Apr-20,outgoing,CAUCASIAN/WHITE,,0,CEO,,0,5/1/14,4/1/20,,,,,
396,AMZN,AMAZON.COM INC,64768,Jeff Bezos,Caucasian/White,0,0,M,0,1,1,0,0,0,,,CAUCASIAN/WHITE,,0,CEO,Chairman/President/CEO,0,10/1/00,7/5/21,,,,,
439,AEE,AMEREN CORP,10860,Warner Baxter,Caucasian/White,0,0,M,0,1,1,0,0,0,,,CAUCASIAN/WHITE,,0,CEO,Chairman/President/CEO,0,7/1/14,1/1/22,,,,,
114,AAL,AMERICAN AIRLINES GROUP INC,1045,Doug Parker Jr,Caucasian/White,0,0,M,0,1,1,0,0,0,,,CAUCASIAN/WHITE,,0,CEO,Chairman/CEO,0,6/4/14,3/31/22,,,,,
259,AEP,AMERICAN ELECTRIC POWER CO,1440,Nick Akins,Caucasian/White,0,0,M,0,1,1,0,0,0,,,CAUCASIAN/WHITE,,0,CEO,Chairman/President/CEO,0,1/1/14,8/10/22,,,,,
450,AXP,AMERICAN EXPRESS CO,1447,Steve Squeri,Caucasian/White,0,0,M,0,1,1,0,0,0,,,CAUCASIAN/WHITE,1,1,CEO,Chairman/CEO,0,2/1/18,,,,,,
448,AIG,AMERICAN INTERNATIONAL GROUP,1487,Brian Duperreault,Caucasian/White,0,0,M,0,1,1,0,0,0,,,CAUCASIAN/WHITE,,0,CEO,,0,5/1/17,3/1/21,,,,,
281,AWK,AMERICAN WATER WORKS CO INC,179437,Walter J. Lynch,Caucasian/White,0,0,M,0,1,1,0,0,1,Apr-20,incoming,CAUCASIAN/WHITE,,0,CEO,,0,4/1/20,,,,,,
181,BDX,BECTON DICKINSON & CO,2111,Vincent A. Forlenza,Caucasian/White,0,0,M,0,1,1,0,0,1,Jan-20,outgoing,CAUCASIAN/WHITE,,0,CEO,,0,10/1/11,1/28/20,,,,,
181,BDX,BECTON DICKINSON & CO,2111,Thomas E. Polen,Caucasian/White,0,0,M,0,1,1,0,0,1,Jan-20,incoming,CAUCASIAN/WHITE,,0,CEO,,0,1/28/20,,,,,,
240,WRB,BERKLEY (W R) CORP,14822,William R. Berkley,Caucasian/White,0,0,M,0,1,0,0,0,1,Jan-20,outgoing,CAUCASIAN/WHITE,,0,CEO,,0,5/20/05,10/31/15,,,,,
304,AMP,AMERIPRISE FINANCIAL INC,164708,Jim Cracchiolo,Caucasian/White,0,0,M,0,1,1,0,0,0,,,CAUCASIAN/WHITE,,0,CEO,Chairman/CEO,0,9/30/05,,,,,,
231,ABC,AMERISOURCEBERGEN CORP,31673,Steven H. Collis,Caucasian/White,0,0,M,0,1,1,0,0,0,,,CAUCASIAN/WHITE,,0,CEO,,0,7/1/11,,,,,,
