coid,tic,1conm_x,2Company,3CompanyName,gvkey,1ceo_minority,1ethnicity (from boardex),ceo_name,2DirectorName,2First,2Last,3FirstName,3LastName,1ceo_race(black),2BE,3RoleType,3RoleName,3Seniority,2020_Active,2020_Active_May26_Dec31,2020_CEO_Change,2020_2CEOs,2Female,2Gender,2AnnDate,2EndDate,3DateStartRole,3DateEndRole,X3num,X3CompanyID,X3DirectorID,2num,2permno,2Confounded,2Interim
86,CMI,CUMMINS INC,NA,CUMMINS INC,3650,0,CAUCASIAN/WHITE,Tom Linebarger,,,,Tom,Linebarger,NA,NA,CEO,Chairman/CEO,Executive Director,,1,NA,NA,NA,NA,NA,NA,1/1/12,8/1/22,92,8426,203776,NA,NA,NA,NA
87,TSCO,TRACTOR SUPPLY CO,NA,NA,29736,0,CAUCASIAN/WHITE,NA,,,,NA,NA,NA,NA,CEO,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
88,LUMN,LUMEN TECHNOLOGIES INC,NA,LUMEN TECHNOLOGIES INC (CenturyLink Inc prior to 09/2020),2884,0,CAUCASIAN/WHITE,Jeff Storey,,,,Jeff,Storey,NA,NA,CEO,President/CEO,Executive Director,,1,NA,NA,NA,NA,NA,NA,5/23/18,11/7/22,288,6353,730057,NA,NA,NA,NA
89,CINF,CINCINNATI FINANCIAL CORP,NA,CINCINNATI FINANCIAL CORP,14824,0,CAUCASIAN/WHITE,Steve Johnston,,,,Steve,Johnston,NA,NA,CEO,President/CEO,Executive Director,1,0,NA,NA,NA,NA,NA,NA,5/2/11,5/2/20,84,6863,270963,NA,NA,NA,NA
90,ANSS,ANSYS INC,NA,ANSYS INC,63080,1,INDIAN/SOUTH ASIAN,Doctor Ajei Gopal,,,,Ajei,Gopal,NA,NA,CEO,President/CEO,Executive Director,,1,NA,NA,NA,NA,NA,NA,1/1/17,NA,31,2257,545851,NA,NA,NA,NA
91,VTRS,VIATRIS INC,NA,NA,7637,0,CAUCASIAN/WHITE,NA,,,,NA,NA,NA,NA,CEO,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
92,FISV,FISERV INC,NA,NA,12635,1,ASIAN (EXCLUDE INDIAN/SOUTH ASIAN),NA,,,,NA,NA,NA,NA,CEO,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
93,ORLY,O'REILLY AUTOMOTIVE INC,NA,NA,28180,0,CAUCASIAN/WHITE,NA,,,,NA,NA,NA,NA,CEO,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
94,CMS,CMS ENERGY CORP,NA,CMS ENERGY CORP,3439,0,CAUCASIAN/WHITE,Patti Poppe,,,,Patti,Poppe,NA,NA,CEO,President/CEO,Executive Director,,1,NA,NA,NA,NA,NA,NA,7/1/16,12/1/20,93,7147,1094129,NA,NA,NA,NA
95,LHX,L3HARRIS TECHNOLOGIES INC,NA,L3HARRIS TECHNOLOGIES INC (Harris Corp prior to 07/2019),5492,0,CAUCASIAN/WHITE,Bill Brown,,,,Bill,Brown,NA,NA,CEO,Chairman (Executive)/CEO,Executive Director,,1,NA,NA,NA,NA,NA,NA,6/29/19,6/29/21,278,14355,484620,NA,NA,NA,NA
96,DOW,DOW INC,NA,NA,34443,0,CAUCASIAN/WHITE,NA,,,,NA,NA,NA,NA,CEO,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
97,K,KELLOGG CO,NA,KELLANOVA CO (Kellogg Co prior to 10/2023),6375,0,CAUCASIAN/WHITE,Steve Cahillane,,,,Steve,Cahillane,NA,NA,CEO,Chairman/President/CEO,Executive Director,,1,NA,NA,NA,NA,NA,NA,3/16/18,NA,260,17777,455061,NA,NA,NA,NA
98,UNM,UNUM GROUP,NA,UNUM GROUP (UnumProvident Corp prior to 03/2007),12726,0,CAUCASIAN/WHITE,Rick McKenney,,,,Rick,McKenney,NA,NA,CEO,President/CEO,Executive Director,,1,NA,NA,NA,NA,NA,NA,5/21/15,NA,477,31898,340641,NA,NA,NA,NA
99,ROP,ROPER TECHNOLOGIES INC,NA,ROPER TECHNOLOGIES INC (Roper Industries Inc prior to 04/2015),24925,0,CAUCASIAN/WHITE,Laurence Hunn,,,,Laurence,Hunn,NA,NA,CEO,President/CEO,Executive Director,,1,NA,NA,NA,NA,NA,NA,9/19/18,NA,422,26544,796522,NA,NA,NA,NA
100,SCHW,SCHWAB (CHARLES) CORP,NA,CHARLES SCHWAB CORP,13988,0,CAUCASIAN/WHITE,Walt Bettinger II,,,,Walt,Bettinger II,NA,NA,CEO,President/CEO,Executive Director,,1,NA,NA,NA,NA,NA,NA,10/1/08,10/15/21,429,27292,486476,NA,NA,NA,NA
101,UDR,UDR INC,NA,UDR INC (United Dominion Realty Trust Inc prior to 03/2007),10894,0,CAUCASIAN/WHITE,Tom Toomey,,,,Tom,Toomey,NA,NA,CEO,Chairman/CEO,Executive Director,,1,NA,NA,NA,NA,NA,NA,1/1/19,NA,473,32094,181650,NA,NA,NA,NA
102,WHR,WHIRLPOOL CORP,NA,WHIRLPOOL CORP,11465,0,CAUCASIAN/WHITE,Doctor Marc Bitzer,,,,Marc,Bitzer,NA,NA,CEO,Chairman/President/CEO,Executive Director,,1,NA,NA,NA,NA,NA,NA,1/1/19,9/1/21,503,33437,485987,NA,NA,NA,NA
103,MTD,METTLER-TOLEDO INTL INC,Mettler-Toledo International,METTLER TOLEDO INTERNATIONAL INC,65772,0,CAUCASIAN/WHITE,Olivier Filliol,,,,Olivier,Filliol,NA,0,CEO,President/CEO,Executive Director,,1,NA,NA,0,M,11/1/07,NA,1/1/09,3/31/21,330,20478,205031,149,85621,0,0
104,LW,LAMB WESTON HOLDINGS INC,NA,LAMB WESTON HOLDINGS INC,28790,0,CAUCASIAN/WHITE,Tom Werner,,,,Tom,Werner,NA,NA,CEO,President/CEO,Executive Director,,1,NA,NA,NA,NA,NA,NA,11/9/16,NA,291,2558653,1595178,NA,NA,NA,NA
105,MU,MICRON TECHNOLOGY INC,NA,MICRON TECHNOLOGY INC,7343,1,INDIAN/SOUTH ASIAN,Sanjay Mehrotra,,,,Sanjay,Mehrotra,NA,NA,CEO,President/CEO,Executive Director,,1,NA,NA,NA,NA,NA,NA,5/8/17,NA,331,20589,205405,NA,NA,NA,NA
106,EVRG,EVERGY INC,NA,EVERGY INC,6338,0,CAUCASIAN/WHITE,Terry Bassham,,,,Terry,Bassham,NA,NA,CEO,President/CEO,Executive Director,,1,NA,NA,NA,NA,NA,NA,6/5/18,1/4/21,168,2824528,345671,NA,NA,NA,NA
107,KSU,KANSAS CITY SOUTHERN,NA,KANSAS CITY SOUTHERN (De-listed 12/2021),6335,0,CAUCASIAN/WHITE,Pat Ottensmeyer,,,,Pat,Ottensmeyer,NA,NA,CEO,President/CEO,Executive Director,,1,NA,NA,NA,NA,NA,NA,7/1/16,12/14/21,272,17690,489655,NA,NA,NA,NA
108,GL,GLOBE LIFE INC,NA,GLOBE LIFE INC (Torchmark Corp prior to 08/2019),10614,0,CAUCASIAN/WHITE,Gary Coleman,,,,Gary,Coleman,NA,NA,CEO,Co-Chairman/Co-CEO,Executive Director,,1,1,1,NA,NA,NA,NA,4/24/14,12/31/22,200,30937,58941,NA,NA,NA,NA
108,GL,GLOBE LIFE INC,NA,GLOBE LIFE INC (Torchmark Corp prior to 08/2019),10614,0,CAUCASIAN/WHITE,Larry Hutchison,,,,Larry,Hutchison,NA,NA,CEO,Co-Chairman/Co-CEO,Executive Director,,1,1,1,NA,NA,NA,NA,4/24/14,12/31/22,201,30937,58946,NA,NA,NA,NA
109,TYL,TYLER TECHNOLOGIES INC,NA,TYLER TECHNOLOGIES INC,10789,0,CAUCASIAN/WHITE,H Moore Jr,,,,H,Moore Jr,NA,NA,CEO,President/CEO,Executive Director,,1,NA,NA,NA,NA,NA,NA,5/10/18,NA,471,31558,325238,NA,NA,NA,NA
110,SNA,SNAP-ON INC,NA,SNAP-ON INC,9778,0,CAUCASIAN/WHITE,Nick Pinchuk,,,,Nick,Pinchuk,NA,NA,CEO,Chairman/President/CEO,Executive Director,,1,NA,NA,NA,NA,NA,NA,4/23/09,NA,437,28335,206568,NA,NA,NA,NA
111,STZ,CONSTELLATION BRANDS,NA,CONSTELLATION BRANDS INC,2710,0,CAUCASIAN/WHITE,Bill Newlands Jr,,,,Bill,Newlands Jr,NA,NA,CEO,President/CEO,Executive Director,,1,NA,NA,NA,NA,NA,NA,3/1/19,NA,444,7753,1130665,NA,NA,NA,NA
112,HSIC,HENRY SCHEIN INC,NA,HENRY SCHEIN INC,61494,0,CAUCASIAN/WHITE,Stan Bergman,,,,Stan,Bergman,NA,NA,CEO,Chairman/CEO,Executive Director,,1,NA,NA,NA,NA,NA,NA,5/18/05,NA,225,14669,85377,NA,NA,NA,NA
113,FAST,FASTENAL CO,NA,FASTENAL CO,14225,0,CAUCASIAN/WHITE,Dan Florness,,,,Dan,Florness,NA,NA,CEO,President/CEO,Executive Director,,1,NA,NA,NA,NA,NA,NA,1/1/16,NA,179,11608,70422,NA,NA,NA,NA
114,AAL,AMERICAN AIRLINES GROUP INC,NA,AMERICAN AIRLINES GROUP INC (AMR Corp prior to 12/2013),1045,0,CAUCASIAN/WHITE,Doug Parker Jr,,,,Doug,Parker Jr,NA,NA,CEO,Chairman/CEO,Executive Director,,1,NA,NA,NA,NA,NA,NA,6/4/14,3/31/22,3,2021732,273457,NA,NA,NA,NA
115,DHI,D R HORTON INC,NA,NA,25340,0,CAUCASIAN/WHITE,NA,,,,NA,NA,NA,NA,CEO,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
116,RJF,RAYMOND JAMES FINANCIAL INC,NA,RAYMOND JAMES FINANCIAL INC,8898,0,CAUCASIAN/WHITE,Paul Reilly,,,,Paul,Reilly,NA,NA,CEO,Chairman/CEO,Executive Director,,1,NA,NA,NA,NA,NA,NA,2/16/17,NA,417,25808,275776,NA,NA,NA,NA
117,CSX,CSX CORP,NA,CSX CORP,2574,0,CAUCASIAN/WHITE,Jim Foote,,,,Jim,Foote,NA,NA,CEO,President/CEO,Executive Director,,1,NA,NA,NA,NA,NA,NA,12/22/17,9/26/22,104,8383,331094,NA,NA,NA,NA
118,FIS,FIDELITY NATIONAL INFO SVCS,NA,FIDELITY NATIONAL INFORMATION SERVICES INC (Certegy Inc prior to 02/2006),165993,0,CAUCASIAN/WHITE,Gary Norcross,,,,Gary,Norcross,NA,NA,CEO,Chairman/President/CEO,Executive Director,,1,NA,NA,NA,NA,NA,NA,5/30/18,3/9/21,184,6382,516521,NA,NA,NA,NA
119,REG,REGENCY CENTERS CORP,NA,REGULUS RESOURCES INC,29099,0,CAUCASIAN/WHITE,Lisa Palmer,,,,Lisa,Palmer,0,NA,CEO,President/CEO,Executive Director,,1,NA,NA,NA,NA,NA,NA,1/1/20,NA,411,1792078,1061422,NA,NA,NA,NA
120,ZTS,ZOETIS INC,NA,NA,13721,0,CAUCASIAN/WHITE,NA,,,,NA,NA,NA,NA,CEO,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
121,EPAM,EPAM SYSTEMS INC,NA,EPAM SYSTEMS INC,187697,0,CAUCASIAN/WHITE,Arkadiy Dobkin,,,,Arkadiy,Dobkin,NA,NA,CEO,Chairman/President/CEO,Executive Director,,1,NA,NA,NA,NA,NA,NA,2/8/12,NA,160,1796199,1059890,NA,NA,NA,NA
122,MOS,MOSAIC CO,NA,MOSAIC CO,162129,0,CAUCASIAN/WHITE,Joc O'Rourke,,,,Joc,O'Rourke,NA,NA,CEO,President/CEO,Executive Director,,1,NA,NA,NA,NA,NA,NA,8/5/15,8/29/23,317,550358,549793,NA,NA,NA,NA
123,MNST,MONSTER BEVERAGE CORP,NA,MONSTER BEVERAGE CORP (Hansen Natural Corp prior to 12/2011),24316,0,CAUCASIAN/WHITE,Rodney Sacks,,,,Rodney,Sacks,NA,NA,CEO,Chairman/CEO,Executive Director,,1,NA,NA,NA,NA,NA,NA,7/1/96,1/13/21,316,14301,343707,NA,NA,NA,NA
124,APD,AIR PRODUCTS & CHEMICALS INC,NA,AIR PRODUCTS & CHEMICALS INC,1209,1,MIDDLE-EASTERN/NORTH AFRICAN,Seifi Ghasemi,,,,Seifi,Ghasemi,NA,NA,CEO,Chairman/President/CEO,Executive Director,,1,NA,NA,NA,NA,NA,NA,7/1/14,NA,34,1173,24391,NA,NA,NA,NA
125,PPL,PPL CORP,NA,PPL CORP,8455,0,CAUCASIAN/WHITE,Bill Spence,,,,Bill,Spence,NA,NA,CEO,Chairman/CEO,Executive Director,,1,NA,NA,NA,NA,NA,NA,7/1/19,5/31/20,395,24890,333782,NA,NA,NA,NA
126,ULTA,ULTA BEAUTY INC,NA,ULTA BEAUTY INC (Ulta Salon Cosmetics & Fragrance Inc prior to 01/2017),178704,0,CAUCASIAN/WHITE,Mary Dillon,,,,Mary,Dillon,NA,NA,CEO,CEO,Executive Director,,1,NA,NA,NA,NA,NA,NA,7/1/13,6/2/21,475,465379,487099,NA,NA,NA,NA
127,CCL,CARNIVAL CORPORATION & PLC,Carnival & plc,CARNIVAL CORP,13498,1,BLACK/AFRICAN AMERICAN,Arnold Donald,,,,Arnold,Donald,NA,1,CEO,President/CEO,Executive Director,,1,NA,NA,0,M,6/24/13,NA,7/3/13,1/1/22,72,5867,35264,104,89728,0,0
128,LEN,LENNAR CORP,NA,LENNAR CORP,6669,0,CAUCASIAN/WHITE,Rick Beckwitt,,,,Rick,Beckwitt,NA,NA,CEO,CEO,Executive Director,,1,NA,NA,NA,NA,NA,NA,4/11/18,11/2/20,276,18703,67887,NA,NA,NA,NA
129,NCLH,NORWEGIAN CRUISE LINE HLDGS,NA,NORWEGIAN CRUISE LINE HOLDINGS LTD,104432,1,HISPANIC/LATIN AMERICAN,Frank Del Rio,,,,Frank,Del Rio,NA,NA,CEO,President/CEO,Executive Director,,1,NA,NA,NA,NA,NA,NA,8/4/15,6/30/23,334,1925428,1451131,NA,NA,NA,NA
130,RCL,ROYAL CARIBBEAN GROUP,NA,ROYAL CARIBBEAN CRUISES LTD (ROYAL CARIBBEAN GROUP),28191,0,CAUCASIAN/WHITE,Richard Fain,,,,Richard,Fain,NA,NA,CEO,Chairman/CEO,Executive Director,,1,NA,NA,NA,NA,NA,NA,4/1/88,1/3/22,410,26625,13413,NA,NA,NA,NA
131,CMG,CHIPOTLE MEXICAN GRILL INC,NA,COMPUTER MODELLING GROUP LTD,165914,0,CAUCASIAN/WHITE,Brian Niccol,,,,Brian,Niccol,0,NA,CEO,Chairman/CEO,Executive Director,,1,NA,NA,NA,NA,NA,NA,3/1/18,NA,91,598752,1457763,NA,NA,NA,NA
132,EW,EDWARDS LIFESCIENCES CORP,NA,EDWARDS LIFESCIENCES CORP,133366,0,CAUCASIAN/WHITE,Mike Mussallem,,,,Mike,Mussallem,NA,NA,CEO,Chairman/CEO,Executive Director,,1,NA,NA,NA,NA,NA,NA,3/31/00,5/11/23,169,10156,90062,NA,NA,NA,NA
133,SWKS,SKYWORKS SOLUTIONS INC,NA,SKYWORKS SOLUTIONS INC (Alpha Industries prior to 6/2002),1327,0,CAUCASIAN/WHITE,Liam Griffin,,,,Liam,Griffin,NA,NA,CEO,President/CEO,Executive Director,,1,NA,NA,NA,NA,NA,NA,5/11/16,5/13/21,447,1573,327486,NA,NA,NA,NA
134,HSY,HERSHEY CO,NA,HERSHEY CO (THE),5597,0,CAUCASIAN/WHITE,Michele Buck,,,,Michele,Buck,NA,NA,CEO,Chairman/President/CEO,Executive Director,,1,NA,NA,NA,NA,NA,NA,10/11/19,NA,227,14714,485170,NA,NA,NA,NA
135,LVS,LAS VEGAS SANDS CORP,NA,LAS VEGAS SANDS CORP,161844,0,CAUCASIAN/WHITE,Sheldon Adelson,,,,Sheldon,Adelson,NA,NA,CEO,Chairman/CEO/Treasurer,Executive Director,,1,NA,NA,NA,NA,NA,NA,8/1/04,1/11/21,290,603630,373289,NA,NA,NA,NA
136,WYNN,WYNN RESORTS LTD,NA,WYNN RESORTS LTD,149318,0,CAUCASIAN/WHITE,Matt Maddox,,,,Matt,Maddox,NA,NA,CEO,CEO,Executive Director,,1,NA,NA,NA,NA,NA,NA,5/29/19,1/31/22,511,136226,488858,NA,NA,NA,NA
137,BR,BROADRIDGE FINANCIAL SOLUTNS,NA,NA,176928,0,CAUCASIAN/WHITE,NA,,,,NA,NA,NA,NA,CEO,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
138,KIM,KIMCO REALTY CORP,NA,KIMCO REALTY CORP,24731,0,CAUCASIAN/WHITE,Conor Flynn,,,,Conor,Flynn,NA,NA,CEO,CEO,Executive Director,,1,NA,NA,NA,NA,NA,NA,2/27/17,NA,265,17915,888666,NA,NA,NA,NA
139,FLIR,FLIR SYSTEMS INC,NA,FLIR SYSTEMS INC (De-listed 05/2021),28477,0,CAUCASIAN/WHITE,Jim Cannon,,,,Jim,Cannon,NA,NA,CEO,President/CEO,Executive Director,,1,NA,NA,NA,NA,NA,NA,6/19/17,5/14/21,186,12112,1301933,NA,NA,NA,NA
140,FE,FIRSTENERGY CORP,NA,FIRSTENERGY CORP,8099,0,CAUCASIAN/WHITE,Chuck Jones Jr,,,,Chuck,Jones Jr,NA,NA,CEO,President/CEO,Executive Director,1,0,1,1,NA,NA,NA,NA,1/1/15,5/24/20,182,11964,621318,NA,NA,NA,NA
140,FE,FIRSTENERGY CORP,NA,FIRSTENERGY CORP,8099,0,CAUCASIAN/WHITE,Steven E. Strah,,,,Chuck,Jones Jr,NA,NA,CEO,President/CEO,Executive Director,1,1,1,1,NA,NA,NA,NA,10/1/20,NA,183,11964,621318,NA,NA,NA,NA
141,BRK.B,BERKSHIRE HATHAWAY,NA,BERKSHIRE HATHAWAY INC,2176,0,CAUCASIAN/WHITE,Warren Buffett,,,,Warren,Buffett,NA,NA,CEO,Chairman/CEO,Executive Director,,,NA,NA,NA,NA,NA,NA,1/1/70,NA,60,4080,32543,NA,NA,NA,NA
142,UNP,UNION PACIFIC CORP,NA,UNION PACIFIC CORP,10867,0,CAUCASIAN/WHITE,Lance Fritz,,,,Lance,Fritz,NA,NA,CEO,Chairman/President/CEO,Executive Director,,1,NA,NA,NA,NA,NA,NA,10/1/15,8/14/23,478,31786,603672,NA,NA,NA,NA
143,DE,DEERE & CO,NA,DEERE & CO,3835,0,CAUCASIAN/WHITE,John May,,,,John,May,NA,NA,CEO,President/CEO,Executive Director,1,0,NA,NA,NA,NA,NA,NA,11/4/19,5/1/20,122,8886,1070838,NA,NA,NA,NA
144,RF,REGIONS FINANCIAL CORP,NA,REGIONS FINANCIAL CORP,4674,0,CAUCASIAN/WHITE,John Turner Jr,,,,John,Turner Jr,NA,NA,CEO,President/CEO,Executive Director,,1,NA,NA,NA,NA,NA,NA,7/2/18,NA,413,550049,488345,NA,NA,NA,NA
145,VMC,VULCAN MATERIALS CO,NA,VULCAN MATERIALS CO,11228,0,CAUCASIAN/WHITE,Tom Hill,,,,Tom,Hill,NA,NA,CEO,Chairman/President/CEO,Executive Director,,1,NA,NA,NA,NA,NA,NA,1/1/16,9/20/23,491,32979,1085549,NA,NA,NA,NA
146,APA,APA CORP,NA,APA CORP (Apache Corp prior to 03/2021),1678,0,CAUCASIAN/WHITE,John Christmann IV,,,,John,Christmann IV,NA,NA,CEO,President/CEO,Executive Director,,1,NA,NA,NA,NA,NA,NA,1/20/15,1/1/24,33,2307,535064,NA,NA,NA,NA
147,BKR,BAKER HUGHES CO,NA,BAKER HUGHES CO (Baker Hughes a GE Co prior to 10/2019),32106,0,CAUCASIAN/WHITE,Lorenzo Simonelli,,,,Lorenzo,Simonelli,NA,NA,CEO,Chairman/President/CEO,Executive Director,,1,NA,NA,NA,NA,NA,NA,10/2/17,NA,57,3415,641184,NA,NA,NA,NA
148,CCI,CROWN CASTLE INC,NA,CROWN CASTLE INC (Crown Castle International Corp prior to 08/2022),113490,0,CAUCASIAN/WHITE,Jay Brown,,,,Jay,Brown,NA,NA,CEO,President/CEO,Executive Director,,1,NA,NA,NA,NA,NA,NA,6/1/16,1/16/24,71,8304,620002,NA,NA,NA,NA
149,CNP,CENTERPOINT ENERGY INC,NA,NA,5742,0,CAUCASIAN/WHITE,NA,,,,NA,NA,NA,NA,CEO,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
150,COP,CONOCOPHILLIPS,NA,CONOCOPHILLIPS COMPANY,8549,0,CAUCASIAN/WHITE,Ryan Lance,,,,Ryan,Lance,NA,NA,CEO,Chairman/CEO,Executive Director,,1,NA,NA,NA,NA,NA,NA,5/1/12,NA,97,24355,486834,NA,NA,NA,NA
151,CTRA,COTERRA ENERGY INC,NA,COTERRA ENERGY INC (Cabot Oil & Gas Corp prior to 10/2021),20548,0,CAUCASIAN/WHITE,Dan Dinges,,,,Dan,Dinges,NA,NA,CEO,Chairman/President/CEO,Executive Director,,1,NA,NA,NA,NA,NA,NA,5/2/02,10/1/21,108,5465,202913,NA,NA,NA,NA
152,EOG,EOG RESOURCES INC,NA,EOG RESOURCES INC (Enron Oil & Gas Co prior to 09/1999),16478,0,CAUCASIAN/WHITE,Bill Thomas,,,,Bill,Thomas,NA,NA,CEO,Chairman/CEO,Executive Director,,1,NA,NA,NA,NA,NA,NA,1/1/14,9/30/21,159,10844,534761,NA,NA,NA,NA
153,HAL,HALLIBURTON CO,NA,HALLIBURTON CO,5439,0,CAUCASIAN/WHITE,Jeff Miller,,,,Jeff,Miller,NA,NA,CEO,Chairman/President/CEO,Executive Director,,1,NA,NA,NA,NA,NA,NA,1/1/19,NA,209,14212,1269010,NA,NA,NA,NA
154,HPE,HEWLETT PACKARD ENTERPRISE,NA,HEWLETT PACKARD ENTERPRISE CO,26156,1,HISPANIC/LATIN AMERICAN,Antonio Neri,,,,Antonio,Neri,NA,NA,CEO,President/CEO,Executive Director,,1,NA,NA,NA,NA,NA,NA,2/1/18,NA,222,2358912,1192124,NA,NA,NA,NA
155,KMI,KINDER MORGAN INC,NA,KINDER MORGAN INC (Kinder Morgan Holdco LLC prior to 02/2011),6310,0,CAUCASIAN/WHITE,Steve Kean,,,,Steve,Kean,NA,NA,CEO,CEO,Executive Director,,1,NA,NA,NA,NA,NA,NA,4/18/18,8/1/23,268,1687673,480557,NA,NA,NA,NA
156,LYB,LYONDELLBASELL INDUSTRIES NV,NA,LYONDELLBASELL INDUSTRIES NV,294524,1,INDIAN/SOUTH ASIAN,Bob Patel,,,,Bob,Patel,NA,NA,CEO,CEO,Executive Director,,1,NA,NA,NA,NA,NA,NA,6/1/18,12/31/21,293,1667126,1092110,NA,NA,NA,NA
157,MRO,MARATHON OIL CORP,NA,MARATHON OIL CORP (USX Marathon Group prior to 01/2002),7017,0,CAUCASIAN/WHITE,Lee Tillman,,,,Lee,Tillman,NA,NA,CEO,Chairman/President/CEO,Executive Director,,1,NA,NA,NA,NA,NA,NA,2/1/19,NA,321,32067,1314672,NA,NA,NA,NA
158,NOV,NOV INC,NA,NOV INC (National Oilwell Varco Inc prior to 01/2021),63892,0,CAUCASIAN/WHITE,Clay Williams,,,,Clay,Williams,NA,NA,CEO,Chairman/President/CEO,Executive Director,,1,NA,NA,NA,NA,NA,NA,5/30/14,NA,343,21553,207048,NA,NA,NA,NA
159,NRG,NRG ENERGY INC,NA,NRG ENERGY INC,135990,1,HISPANIC/LATIN AMERICAN,Mauricio Gutierrez,,,,Mauricio,Gutierrez,NA,NA,CEO,President/CEO,Executive Director,,1,NA,NA,NA,NA,NA,NA,1/4/16,11/17/23,345,22626,598675,NA,NA,NA,NA
160,OXY,OCCIDENTAL PETROLEUM CORP,NA,OCCIDENTAL PETROLEUM CORP,8068,0,CAUCASIAN/WHITE,Vicki Hollub,,,,Vicki,Hollub,NA,NA,CEO,President/CEO,Executive Director,,1,NA,NA,NA,NA,NA,NA,4/29/16,NA,367,22899,1304382,NA,NA,NA,NA
161,PSX,PHILLIPS 66,NA,PHILLIPS 66,170841,0,CAUCASIAN/WHITE,Greg Garland,,,,Greg,Garland,NA,NA,CEO,Chairman/CEO,Executive Director,,1,NA,NA,NA,NA,NA,NA,6/1/14,7/1/22,399,1813482,1089975,NA,NA,NA,NA
162,PWR,QUANTA SERVICES INC,NA,QUANTA SERVICES INC,66446,0,CAUCASIAN/WHITE,Duke Austin Jr,,,,Duke,Austin Jr,NA,NA,CEO,President/CEO/COO,Executive Director,,1,NA,NA,NA,NA,NA,NA,3/14/16,1/26/22,403,25544,1048547,NA,NA,NA,NA
163,SLB,SCHLUMBERGER LTD,NA,SCHLUMBERGER LIMITED,9465,0,CAUCASIAN/WHITE,Olivier Le Peuch,,,,Olivier,Le Peuch,NA,NA,CEO,CEO,Executive Director,,1,NA,NA,NA,NA,NA,NA,8/1/19,NA,435,27242,484858,NA,NA,NA,NA
164,SYY,SYSCO CORP,NA,NA,10247,0,CAUCASIAN/WHITE,NA,,,,NA,NA,NA,NA,CEO,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
165,TRGP,TARGA RESOURCES CORP,NA,NA,185532,0,CAUCASIAN/WHITE,NA,,,,NA,NA,NA,NA,CEO,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
166,WM,WASTE MANAGEMENT INC,NA,WASTE MANAGEMENT INC,14477,0,CAUCASIAN/WHITE,Jim Fish Jr,,,,Jim,Fish Jr,NA,NA,CEO,President/CEO,Executive Director,,1,NA,NA,NA,NA,NA,NA,11/10/16,NA,504,33114,1119364,NA,NA,NA,NA
167,MTB,M & T BANK CORP,M&T Bank,M&T BANK CORP,4699,0,CAUCASIAN/WHITE,Rene Jones,,,,Rene,Jones,NA,1,CEO,Chairman/CEO,Executive Director,,1,NA,NA,0,M,12/20/17,NA,12/20/17,NA,328,19327,484476,64,35554,1,0
168,CARR,CARRIER GLOBAL CORP,NA,NA,36191,0,CAUCASIAN/WHITE,NA,,,,NA,NA,NA,NA,CEO,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
169,NEE,NEXTERA ENERGY INC,NA,NEXTERA ENERGY INC (FPL Group Inc prior to 05/2010),4517,0,CAUCASIAN/WHITE,Jim Robo,,,,Jim,Robo,NA,NA,CEO,Chairman/President/CEO,Executive Director,,1,NA,NA,NA,NA,NA,NA,12/13/13,3/1/22,336,12407,39031,NA,NA,NA,NA
170,SBAC,SBA COMMUNICATIONS CORP,NA,SBA COMMUNICATIONS CORP,121382,0,CAUCASIAN/WHITE,Jeff Stoops,,,,Jeff,Stoops,NA,NA,CEO,President/CEO,Executive Director,,1,NA,NA,NA,NA,NA,NA,1/1/02,12/31/23,427,27160,346056,NA,NA,NA,NA
171,BWA,BORGWARNER INC,NA,BORGWARNER INC,28742,0,CAUCASIAN/WHITE,Frederic Lissalde,,,,Frederic,Lissalde,NA,NA,CEO,President/CEO,Executive Director,,1,NA,NA,NA,NA,NA,NA,8/1/18,NA,62,4839,1195691,NA,NA,NA,NA
172,NI,NISOURCE INC,NiSource,NISOURCE INC (NIPSCO Industries Inc prior to 04/1999),7974,0,CAUCASIAN/WHITE,Joe Hamrock,Lloyd Yates,Lloyd,Yates,Joe,Hamrock,NA,1,CEO,President/CEO,Executive Director,,1,NA,NA,0,M,1/28/22,NA,7/1/15,2/14/22,339,22260,594908,81,38762,1,0
