coid,tic,1conm_x,2Company,3CompanyName,gvkey,1ceo_minority,1ethnicity (from boardex),ceo_name,2DirectorName,2First,2Last,3FirstName,3LastName,1ceo_race(black),2BE,3RoleType,3RoleName,3Seniority,2020_Active,2020_Active_May26_Dec31,2020_CEO_Change,2020_2CEOs,2Female,2Gender,2AnnDate,2EndDate,3DateStartRole,3DateEndRole,X3num,X3CompanyID,X3DirectorID,2num,2permno,2Confounded,2Interim
13,GPC,GENUINE PARTS CO,NA,GENUINE PARTS CO,5125,0,CAUCASIAN/WHITE,Paul Donahue,,,,Paul,Donahue,NA,NA,CEO,Chairman/CEO,Executive Director,,1,NA,NA,NA,NA,NA,NA,4/22/19,NA,205,13110,547628,NA,NA,NA,NA
14,HD,HOME DEPOT INC,NA,HOME DEPOT INC,5680,0,CAUCASIAN/WHITE,Craig Menear,,,,Craig,Menear,NA,NA,CEO,Chairman/President/CEO,Executive Director,,1,NA,NA,NA,NA,NA,NA,2/2/15,10/5/20,214,14982,536170,NA,NA,NA,NA
15,QRVO,QORVO INC,NA,QORVO INC,64853,0,CAUCASIAN/WHITE,Bob Bruggeworth,,,,Bob,Bruggeworth,NA,NA,CEO,President/CEO,Executive Director,,1,NA,NA,NA,NA,NA,NA,1/2/15,NA,409,2204149,181113,NA,NA,NA,NA
16,AFL,AFLAC INC,NA,NA,1449,0,CAUCASIAN/WHITE,NA,,,,NA,NA,NA,NA,CEO,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
17,AAP,ADVANCE AUTO PARTS INC,NA,ADVANCE AUTO PARTS INC,145977,0,CAUCASIAN/WHITE,Tom Greco,,,,Tom,Greco,NA,NA,CEO,President/CEO,Executive Director,,1,NA,NA,NA,NA,NA,NA,8/14/16,9/11/23,4,95856,1013356,NA,NA,NA,NA
18,MLM,MARTIN MARIETTA MATERIALS,NA,MARTIN MARIETTA MATERIALS INC,29733,0,CAUCASIAN/WHITE,Ward Nye,,,,Ward,Nye,NA,NA,CEO,Chairman/President/CEO,Executive Director,,1,NA,NA,NA,NA,NA,NA,5/22/14,NA,313,19739,841525,NA,NA,NA,NA
19,RHT,RED HAT INC,NA,RELIQ HEALTH TECHNOLOGIES INC (Moseda Technologies Inc prior to 05/2016),122841,0,CAUCASIAN/WHITE,Paul Cormier,,,,Paul,Comier,0,NA,CEO,President/CEO,Executive Director,,1,NA,NA,NA,NA,NA,NA,4/1/20,7/1/22,416,1243400,1664864,NA,NA,NA,NA
20,FRT,FEDERAL REALTY INVESTMENT TR,NA,FEDERAL REALTY INVESTMENT TRUST,4605,0,CAUCASIAN/WHITE,Don Wood,,,,Don,Wood,NA,NA,CEO,President/CEO,Executive Director,,1,NA,NA,NA,NA,NA,NA,1/1/03,3/11/21,192,11649,332472,NA,NA,NA,NA
21,HST,HOST HOTELS & RESORTS INC,NA,HOST HOTELS & RESORTS INC,7063,0,CAUCASIAN/WHITE,Jim Risoleo,,,,Jim,Risoleo,NA,NA,CEO,President/CEO,Executive Director,,1,NA,NA,NA,NA,NA,NA,1/1/17,NA,226,15093,205949,NA,NA,NA,NA
22,LMT,LOCKHEED MARTIN CORP,NA,LOCKHEED MARTIN CORP,6774,0,CAUCASIAN/WHITE,Marillyn Hewson,,,,Marillyn,Hewson,NA,NA,CEO,Chairman/President/CEO,Executive Director,,1,NA,NA,NA,NA,NA,NA,1/1/14,6/15/20,281,19048,202548,NA,NA,NA,NA
