2num,2first,last,2Company,2AnnDate,gvkey,2permno,2ExecType,2BE,2Confounded,2Interim,2Female,2DirectorName,2Gender
158,Ken,Denman,Openwave Systems,11/6/08,121257,86990,CEO,1,0,0,0,Ken Denman,M
159,Kenneth,Vecchione,Encore Capital Group,4/8/13,121815,87077,CEO,0,0,0,0,Kenneth Vecchione,M
160,Michael,Fields,Kana Software,8/26/05,123998,87241,CEO,1,0,0,0,Michael Fields,M
161,Michael,Plisinski,Rudolph Technologies,11/9/15,126423,87415,CEO,0,0,0,0,Michael Plisinski,M
162,Lonnel,Coats,Lexicon Pharmaceuticals Inc,7/8/14,133868,88173,CEO,1,0,0,0,Lonnel Coats,M
163,Thomas,Edman,TTM Technologies,10/30/13,139804,88648,CEO,0,0,0,0,Thomas Edman,M
164,Jide,Zeitlin,Tapestry Inc,9/4/19,140541,88661,CEO,1,1,0,0,Jide Zeitlin,M
165,Victor,Alston,Ixia,3/19/12,140759,88750,CEO,1,0,0,0,Victor Alston,M
166,John,Steel,MicroIslet Inc,4/1/18,141196,,CEO,,,,,,M
167,Kelly,Ortberg,Rockwell Collins,4/19/13,144066,89014,CEO,0,0,0,1,Kelly Ortberg,F
168,Bradley,Jacobs,XPO Logistics,9/2/11,144998,90175,CEO,0,1,0,0,Bradley Jacobs,M
169,Marvin,Riley,EnPro Industries Inc,3/12/19,148950,89406,CEO,1,1,0,0,Marvin Riley,M
170,Christopher,Martin,Provident Financial Services,2/27/09,150279,89653,CEO,0,0,0,0,Christopher Martin,M
171,Norman,Miller,"Conn's, Inc.",9/7/15,156614,89908,CEO,0,1,0,0,Norman Miller,M
172,William,Freeman,Arbinet-thexchange,11/19/07,160867,90469,CEO,1,0,0,0,William Freeman,M
173,Dwight,Gibson,BlueLinx Holdings Inc,4/22/21,161813,90496,CEO,1,0,0,0,Dwight Gibson,M
174,Shaun,McAlmont,Lincoln Educational Services Corporation,1/21/09,163668,90735,CEO,1,1,0,0,Shaun McAlmont,M
175,James,White,Jamba Juice,11/18/08,164255,90795,CEO,1,1,0,0,James White,M
176,C. Randall,Sims,Home BancShares,7/17/09,164633,91356,CEO,0,0,0,0,C. Randall Sims,M
177,Todd,Becker,Green Plains Renewable Energy,12/22/08,166576,91161,CEO,0,0,0,0,Todd Becker,M
178,Sam,Solomon,EveryWare Global Inc,6/9/14,170327,13378,CEO,1,0,0,0,Sam Solomon,M
179,David,Rawlinson,Qurate Retail Inc,7/13/21,174147,91278,CEO,1,1,0,0,David Rawlinson,M
180,William,Morrow,Clearwire Corporation,3/9/09,174579,91892,CEO,0,0,0,0,William Morrow,M
181,John,Weinberg,Evercore,10/27/21,174744,91413,CEO,0,0,0,0,John Weinberg,M
182,Devin,McGranahan,Western Union,11/15/21,175263,91461,CEO,0,0,0,0,Devin McGranahan,M
183,Matthew,Carter,Inteliquent Inc,6/6/15,178767,92454,CEO,1,0,0,0,Matthew Carter,M
184,Kase,Lawal,CAMAC Energy Inc,4/12/11,178878,93106,CEO,1,1,0,0,Kase Lawal,M
185,Nathaniel,Davis,"K12, Inc",2/13/18,178976,92493,CEO,1,0,0,0,Nathaniel Davis,M
186,Joel,Gay,Energy Recovery,4/24/15,179738,92753,CEO,1,0,0,0,Joel Gay,M
187,Leslie,Hale,RLJ Lodging Trust,4/10/18,186363,12756,CEO,1,1,1,1,Leslie Hale,F
188,Cynthia,Warner,Renewable Energy Group,12/6/18,187692,13201,CEO,0,0,0,1,Cynthia Warner,F
189,Kim,Goodman,Worldpay,9/28/16,194956,13314,CEO,1,0,0,1,Kim Goodman,F
190,Alec,Cunningham,Wellcare Health Plans,12/21/09,260778,90272,CEO,0,0,0,0,Alec Cunningham,M
191,Brian,Vance,Heritage Financial Corporation,9/22/06,,,CEO,0,0,0,0,Brian Vance,M
